customernumber,event_name,category,subcategory
5006,kredi_basvuru,Finance,Stock Market
9783,borsa,Finance,Loans
5783,fx_market,Finance,Loans
3427,fx_market,Finance,Forex
5747,fx_market,Finance,Loans
4324,kredi_basvuru,Finance,Loans
7901,borsa,Finance,Loans
3434,fx_market,Finance,Loans
2162,fx_market,Finance,Forex
6280,kredi_basvuru,Finance,Forex
5933,borsa,Finance,Loans
6723,kredi_basvuru,Finance,Loans
5067,fx_market,Finance,Stock Market
8097,fx_market,Finance,Loans
6455,fx_market,Finance,Forex
8036,fx_market,Finance,Loans
8871,borsa,Finance,Stock Market
1758,fx_market,Finance,Stock Market
1148,kredi_basvuru,Finance,Stock Market
1960,hesap_acma,Banking,Account Opening
2255,hesap_acma,Banking,Transfers
7676,borsa,Finance,Loans
7884,kredi_basvuru,Finance,Loans
3835,fx_market,Finance,Loans
8375,kredi_basvuru,Finance,Loans
2288,fx_market,Finance,Loans
7299,kredi_basvuru,Finance,Forex
2567,hesap_acma,Banking,Account Opening
8201,fx_market,Finance,Forex
7940,kredi_basvuru,Finance,Forex
1723,kredi_basvuru,Finance,Forex
6788,fx_market,Finance,Stock Market
8115,borsa,Finance,Loans
1973,hesap_acma,Banking,Savings
4382,fx_market,Finance,Stock Market
6061,hesap_acma,Banking,Transfers
7150,borsa,Finance,Forex
1256,fx_market,Finance,Stock Market
7627,kredi_basvuru,Finance,Stock Market
6981,kredi_basvuru,Finance,Stock Market
2623,fx_market,Finance,Forex
3683,borsa,Finance,Forex
6353,fx_market,Finance,Loans
3003,hesap_acma,Banking,Account Opening
8410,kredi_basvuru,Finance,Forex
1433,fx_market,Finance,Loans
7231,hesap_acma,Banking,Savings
3077,hesap_acma,Banking,Transfers
6959,fx_market,Finance,Loans
8437,borsa,Finance,Stock Market
2458,kredi_basvuru,Finance,Stock Market
6015,borsa,Finance,Forex
4089,borsa,Finance,Loans
2509,hesap_acma,Banking,Account Opening
9751,fx_market,Finance,Loans
9307,hesap_acma,Banking,Account Opening
6701,borsa,Finance,Stock Market
5462,kredi_basvuru,Finance,Forex
6198,fx_market,Finance,Loans
7889,hesap_acma,Banking,Savings
5446,hesap_acma,Banking,Transfers
1723,kredi_basvuru,Finance,Loans
9469,hesap_acma,Banking,Transfers
7344,hesap_acma,Banking,Account Opening
8619,hesap_acma,Banking,Savings
9397,fx_market,Finance,Forex
9600,borsa,Finance,Loans
5060,borsa,Finance,Forex
5910,borsa,Finance,Forex
9290,kredi_basvuru,Finance,Loans
1115,fx_market,Finance,Stock Market
4315,hesap_acma,Banking,Account Opening
3698,fx_market,Finance,Loans
9583,fx_market,Finance,Stock Market
9497,hesap_acma,Banking,Account Opening
7406,borsa,Finance,Forex
4744,kredi_basvuru,Finance,Forex
2031,borsa,Finance,Forex
8360,fx_market,Finance,Stock Market
5947,fx_market,Finance,Loans
2483,kredi_basvuru,Finance,Loans
2970,kredi_basvuru,Finance,Forex
3768,borsa,Finance,Forex
2304,fx_market,Finance,Forex
1158,kredi_basvuru,Finance,Stock Market
7787,fx_market,Finance,Loans
9933,borsa,Finance,Stock Market
6944,hesap_acma,Banking,Savings
2421,borsa,Finance,Forex
1260,fx_market,Finance,Loans
9496,kredi_basvuru,Finance,Loans
9159,fx_market,Finance,Loans
5345,kredi_basvuru,Finance,Forex
8079,hesap_acma,Banking,Savings
2902,kredi_basvuru,Finance,Stock Market
8142,hesap_acma,Banking,Transfers
1525,kredi_basvuru,Finance,Stock Market
8426,kredi_basvuru,Finance,Loans
8997,borsa,Finance,Loans
2513,kredi_basvuru,Finance,Forex
8102,hesap_acma,Banking,Transfers
5614,fx_market,Finance,Forex
4961,kredi_basvuru,Finance,Forex
5120,hesap_acma,Banking,Savings
3705,hesap_acma,Banking,Transfers
1286,borsa,Finance,Forex
1379,hesap_acma,Banking,Transfers
8205,fx_market,Finance,Forex
2326,fx_market,Finance,Forex
3620,hesap_acma,Banking,Savings
6252,borsa,Finance,Loans
4751,hesap_acma,Banking,Account Opening
3238,borsa,Finance,Forex
9300,fx_market,Finance,Stock Market
5610,fx_market,Finance,Stock Market
5469,kredi_basvuru,Finance,Loans
4644,fx_market,Finance,Loans
2518,borsa,Finance,Stock Market
2268,borsa,Finance,Loans
2529,fx_market,Finance,Forex
2050,fx_market,Finance,Stock Market
3406,borsa,Finance,Loans
9070,hesap_acma,Banking,Account Opening
5242,fx_market,Finance,Forex
3153,fx_market,Finance,Forex
2630,hesap_acma,Banking,Transfers
7345,borsa,Finance,Loans
6139,kredi_basvuru,Finance,Stock Market
6760,kredi_basvuru,Finance,Stock Market
1265,kredi_basvuru,Finance,Stock Market
1993,borsa,Finance,Loans
4043,hesap_acma,Banking,Savings
2896,borsa,Finance,Forex
9993,kredi_basvuru,Finance,Stock Market
5803,kredi_basvuru,Finance,Forex
2160,borsa,Finance,Forex
3007,hesap_acma,Banking,Transfers
8330,borsa,Finance,Stock Market
2954,hesap_acma,Banking,Account Opening
1689,fx_market,Finance,Loans
3106,kredi_basvuru,Finance,Loans
3259,kredi_basvuru,Finance,Stock Market
4297,hesap_acma,Banking,Savings
4541,borsa,Finance,Stock Market
3546,fx_market,Finance,Stock Market
5469,borsa,Finance,Stock Market
5813,fx_market,Finance,Forex
7626,hesap_acma,Banking,Savings
3999,kredi_basvuru,Finance,Loans
5115,borsa,Finance,Loans
5512,hesap_acma,Banking,Account Opening
6719,fx_market,Finance,Loans
7938,borsa,Finance,Loans
1149,borsa,Finance,Forex
9237,borsa,Finance,Stock Market
1750,hesap_acma,Banking,Account Opening
6066,borsa,Finance,Forex
5905,kredi_basvuru,Finance,Forex
7008,hesap_acma,Banking,Savings
2769,hesap_acma,Banking,Savings
9792,kredi_basvuru,Finance,Stock Market
4662,fx_market,Finance,Loans
3925,fx_market,Finance,Forex
3622,hesap_acma,Banking,Account Opening
5406,fx_market,Finance,Loans
4578,fx_market,Finance,Stock Market
1107,borsa,Finance,Stock Market
9865,borsa,Finance,Stock Market
8615,borsa,Finance,Forex
7303,borsa,Finance,Stock Market
3031,kredi_basvuru,Finance,Stock Market
2131,kredi_basvuru,Finance,Forex
1449,kredi_basvuru,Finance,Forex
5930,hesap_acma,Banking,Account Opening
5676,borsa,Finance,Loans
7837,borsa,Finance,Forex
8683,fx_market,Finance,Forex
2378,hesap_acma,Banking,Account Opening
8286,fx_market,Finance,Stock Market
7292,kredi_basvuru,Finance,Forex
9881,borsa,Finance,Forex
7789,hesap_acma,Banking,Account Opening
7174,hesap_acma,Banking,Transfers
2660,borsa,Finance,Stock Market
4689,fx_market,Finance,Forex
9068,hesap_acma,Banking,Account Opening
2625,kredi_basvuru,Finance,Stock Market
7588,fx_market,Finance,Stock Market
6161,hesap_acma,Banking,Savings
9263,hesap_acma,Banking,Savings
3103,borsa,Finance,Forex
8886,borsa,Finance,Stock Market
7679,hesap_acma,Banking,Account Opening
9957,fx_market,Finance,Forex
4078,borsa,Finance,Stock Market
7510,kredi_basvuru,Finance,Stock Market
6115,kredi_basvuru,Finance,Stock Market
9809,kredi_basvuru,Finance,Forex
7067,borsa,Finance,Forex
5711,hesap_acma,Banking,Savings
3070,hesap_acma,Banking,Account Opening
2091,hesap_acma,Banking,Transfers
6484,borsa,Finance,Loans
8302,borsa,Finance,Stock Market
9709,hesap_acma,Banking,Savings
4120,hesap_acma,Banking,Account Opening
1453,borsa,Finance,Loans
4125,fx_market,Finance,Stock Market
4840,hesap_acma,Banking,Savings
8070,fx_market,Finance,Loans
4883,borsa,Finance,Stock Market
2411,kredi_basvuru,Finance,Loans
7624,fx_market,Finance,Forex
9355,borsa,Finance,Stock Market
3442,hesap_acma,Banking,Account Opening
2529,borsa,Finance,Forex
9955,hesap_acma,Banking,Account Opening
3995,hesap_acma,Banking,Account Opening
6684,borsa,Finance,Forex
1565,hesap_acma,Banking,Transfers
4798,kredi_basvuru,Finance,Loans
3485,borsa,Finance,Loans
3200,kredi_basvuru,Finance,Forex
5994,kredi_basvuru,Finance,Forex
6505,kredi_basvuru,Finance,Stock Market
7139,kredi_basvuru,Finance,Stock Market
1098,fx_market,Finance,Stock Market
8803,kredi_basvuru,Finance,Stock Market
1039,kredi_basvuru,Finance,Loans
7073,hesap_acma,Banking,Account Opening
4200,borsa,Finance,Loans
1148,hesap_acma,Banking,Savings
4406,kredi_basvuru,Finance,Forex
3509,fx_market,Finance,Forex
2266,borsa,Finance,Forex
8160,kredi_basvuru,Finance,Stock Market
8205,hesap_acma,Banking,Transfers
2724,fx_market,Finance,Stock Market
9173,kredi_basvuru,Finance,Loans
3383,fx_market,Finance,Loans
4412,borsa,Finance,Forex
3412,fx_market,Finance,Loans
3504,borsa,Finance,Forex
3124,hesap_acma,Banking,Transfers
4642,fx_market,Finance,Stock Market
9067,kredi_basvuru,Finance,Stock Market
1905,fx_market,Finance,Stock Market
2364,borsa,Finance,Loans
3974,kredi_basvuru,Finance,Forex
8707,kredi_basvuru,Finance,Forex
7451,borsa,Finance,Forex
8797,hesap_acma,Banking,Transfers
3715,kredi_basvuru,Finance,Stock Market
2275,borsa,Finance,Stock Market
9473,fx_market,Finance,Forex
9196,kredi_basvuru,Finance,Stock Market
5408,kredi_basvuru,Finance,Loans
8166,borsa,Finance,Forex
2345,kredi_basvuru,Finance,Stock Market
4049,fx_market,Finance,Loans
2581,fx_market,Finance,Loans
6205,borsa,Finance,Stock Market
9078,hesap_acma,Banking,Savings
8195,kredi_basvuru,Finance,Loans
6143,borsa,Finance,Forex
4917,hesap_acma,Banking,Savings
8279,fx_market,Finance,Forex
4704,fx_market,Finance,Stock Market
9894,borsa,Finance,Loans
9082,fx_market,Finance,Forex
1534,borsa,Finance,Forex
1325,fx_market,Finance,Forex
2968,kredi_basvuru,Finance,Forex
8226,fx_market,Finance,Forex
6977,borsa,Finance,Stock Market
3279,fx_market,Finance,Loans
1438,kredi_basvuru,Finance,Forex
2318,borsa,Finance,Loans
6366,kredi_basvuru,Finance,Loans
6369,kredi_basvuru,Finance,Forex
3185,borsa,Finance,Stock Market
5106,hesap_acma,Banking,Savings
2768,fx_market,Finance,Loans
2815,borsa,Finance,Loans
5092,fx_market,Finance,Loans
9050,kredi_basvuru,Finance,Loans
6552,hesap_acma,Banking,Transfers
2379,hesap_acma,Banking,Transfers
6760,borsa,Finance,Forex
2352,kredi_basvuru,Finance,Loans
8041,hesap_acma,Banking,Account Opening
3501,fx_market,Finance,Stock Market
3998,hesap_acma,Banking,Account Opening
4398,kredi_basvuru,Finance,Forex
6858,borsa,Finance,Loans
9181,kredi_basvuru,Finance,Forex
3059,kredi_basvuru,Finance,Stock Market
9022,kredi_basvuru,Finance,Stock Market
3310,kredi_basvuru,Finance,Forex
1370,fx_market,Finance,Loans
8215,fx_market,Finance,Forex
4484,fx_market,Finance,Stock Market
7250,hesap_acma,Banking,Account Opening
3330,kredi_basvuru,Finance,Loans
7399,borsa,Finance,Stock Market
5673,hesap_acma,Banking,Transfers
4023,fx_market,Finance,Loans
3095,borsa,Finance,Forex
8715,hesap_acma,Banking,Savings
3722,fx_market,Finance,Loans
6681,borsa,Finance,Forex
3186,fx_market,Finance,Forex
9376,hesap_acma,Banking,Savings
6574,kredi_basvuru,Finance,Forex
9207,fx_market,Finance,Loans
8001,fx_market,Finance,Stock Market
2910,borsa,Finance,Forex
3645,fx_market,Finance,Forex
3513,hesap_acma,Banking,Account Opening
8979,fx_market,Finance,Forex
5786,kredi_basvuru,Finance,Stock Market
9245,hesap_acma,Banking,Transfers
4481,borsa,Finance,Forex
9217,borsa,Finance,Forex
9131,borsa,Finance,Loans
3729,fx_market,Finance,Loans
2503,kredi_basvuru,Finance,Loans
2152,kredi_basvuru,Finance,Forex
9521,hesap_acma,Banking,Transfers
5379,fx_market,Finance,Stock Market
3928,fx_market,Finance,Stock Market
1907,kredi_basvuru,Finance,Loans
4265,kredi_basvuru,Finance,Forex
6647,hesap_acma,Banking,Transfers
1840,borsa,Finance,Loans
4541,kredi_basvuru,Finance,Stock Market
4054,fx_market,Finance,Stock Market
3490,hesap_acma,Banking,Transfers
7822,kredi_basvuru,Finance,Forex
1303,borsa,Finance,Loans
7939,fx_market,Finance,Loans
2350,fx_market,Finance,Loans
4637,borsa,Finance,Stock Market
4402,fx_market,Finance,Forex
1533,hesap_acma,Banking,Transfers
5581,borsa,Finance,Forex
7868,hesap_acma,Banking,Account Opening
1542,kredi_basvuru,Finance,Stock Market
8176,fx_market,Finance,Forex
2333,borsa,Finance,Loans
8368,hesap_acma,Banking,Account Opening
7286,fx_market,Finance,Loans
2324,kredi_basvuru,Finance,Stock Market
9757,borsa,Finance,Stock Market
7967,hesap_acma,Banking,Savings
9583,fx_market,Finance,Forex
5178,kredi_basvuru,Finance,Forex
7316,kredi_basvuru,Finance,Stock Market
4530,hesap_acma,Banking,Savings
2657,hesap_acma,Banking,Savings
6060,kredi_basvuru,Finance,Loans
2519,borsa,Finance,Loans
3156,hesap_acma,Banking,Transfers
1186,kredi_basvuru,Finance,Forex
8717,kredi_basvuru,Finance,Stock Market
8211,kredi_basvuru,Finance,Forex
5519,kredi_basvuru,Finance,Forex
6324,borsa,Finance,Loans
7508,fx_market,Finance,Stock Market
9402,fx_market,Finance,Stock Market
6113,kredi_basvuru,Finance,Loans
9277,hesap_acma,Banking,Savings
8847,borsa,Finance,Stock Market
1816,kredi_basvuru,Finance,Loans
6019,borsa,Finance,Loans
2999,borsa,Finance,Forex
6250,hesap_acma,Banking,Savings
6044,borsa,Finance,Forex
6472,borsa,Finance,Loans
6923,hesap_acma,Banking,Savings
9022,hesap_acma,Banking,Savings
1808,kredi_basvuru,Finance,Loans
2938,hesap_acma,Banking,Account Opening
7652,fx_market,Finance,Loans
9208,borsa,Finance,Loans
7187,hesap_acma,Banking,Account Opening
9196,fx_market,Finance,Stock Market
9951,kredi_basvuru,Finance,Forex
4614,hesap_acma,Banking,Savings
8208,fx_market,Finance,Forex
4508,fx_market,Finance,Forex
1662,kredi_basvuru,Finance,Forex
9443,hesap_acma,Banking,Savings
5379,fx_market,Finance,Forex
5945,kredi_basvuru,Finance,Forex
2235,borsa,Finance,Loans
6987,kredi_basvuru,Finance,Stock Market
7674,kredi_basvuru,Finance,Stock Market
5137,hesap_acma,Banking,Savings
1793,kredi_basvuru,Finance,Stock Market
6280,kredi_basvuru,Finance,Loans
1457,borsa,Finance,Forex
3826,borsa,Finance,Loans
9820,kredi_basvuru,Finance,Stock Market
7256,fx_market,Finance,Stock Market
1927,fx_market,Finance,Forex
4384,kredi_basvuru,Finance,Stock Market
1163,hesap_acma,Banking,Savings
7593,hesap_acma,Banking,Savings
1316,kredi_basvuru,Finance,Stock Market
8987,hesap_acma,Banking,Account Opening
3225,kredi_basvuru,Finance,Forex
9615,fx_market,Finance,Stock Market
2624,fx_market,Finance,Forex
4913,borsa,Finance,Forex
8508,hesap_acma,Banking,Transfers
2067,fx_market,Finance,Stock Market
8061,fx_market,Finance,Stock Market
4704,borsa,Finance,Forex
1625,hesap_acma,Banking,Account Opening
4708,hesap_acma,Banking,Savings
1968,kredi_basvuru,Finance,Stock Market
3567,fx_market,Finance,Forex
7617,hesap_acma,Banking,Transfers
6227,kredi_basvuru,Finance,Stock Market
2382,borsa,Finance,Loans
7878,hesap_acma,Banking,Transfers
7722,borsa,Finance,Stock Market
5176,hesap_acma,Banking,Transfers
3950,kredi_basvuru,Finance,Stock Market
8870,kredi_basvuru,Finance,Stock Market
9732,borsa,Finance,Forex
7950,borsa,Finance,Stock Market
9477,fx_market,Finance,Forex
5774,hesap_acma,Banking,Account Opening
3191,borsa,Finance,Forex
9430,kredi_basvuru,Finance,Stock Market
8005,hesap_acma,Banking,Transfers
6100,fx_market,Finance,Loans
6819,fx_market,Finance,Forex
2640,fx_market,Finance,Stock Market
2738,fx_market,Finance,Loans
9513,fx_market,Finance,Loans
8695,kredi_basvuru,Finance,Forex
5410,hesap_acma,Banking,Transfers
3092,fx_market,Finance,Forex
5797,hesap_acma,Banking,Account Opening
9811,fx_market,Finance,Loans
7524,kredi_basvuru,Finance,Stock Market
9109,hesap_acma,Banking,Transfers
8506,borsa,Finance,Loans
7492,borsa,Finance,Forex
6435,fx_market,Finance,Forex
8492,fx_market,Finance,Stock Market
4103,fx_market,Finance,Forex
3601,fx_market,Finance,Loans
3166,borsa,Finance,Loans
6926,fx_market,Finance,Stock Market
1069,hesap_acma,Banking,Account Opening
1733,borsa,Finance,Stock Market
2323,borsa,Finance,Loans
4633,borsa,Finance,Forex
4417,hesap_acma,Banking,Savings
8371,hesap_acma,Banking,Account Opening
8077,kredi_basvuru,Finance,Forex
6019,hesap_acma,Banking,Account Opening
4442,kredi_basvuru,Finance,Forex
3392,hesap_acma,Banking,Savings
8341,borsa,Finance,Loans
5823,borsa,Finance,Forex
6193,fx_market,Finance,Loans
9687,fx_market,Finance,Loans
3468,borsa,Finance,Stock Market
3742,borsa,Finance,Loans
8923,borsa,Finance,Loans
4724,fx_market,Finance,Stock Market
1113,borsa,Finance,Loans
8215,fx_market,Finance,Stock Market
9865,borsa,Finance,Stock Market
4700,kredi_basvuru,Finance,Forex
6383,hesap_acma,Banking,Transfers
2279,borsa,Finance,Stock Market
2852,kredi_basvuru,Finance,Stock Market
1644,hesap_acma,Banking,Savings
4277,hesap_acma,Banking,Savings
4386,kredi_basvuru,Finance,Stock Market
7990,borsa,Finance,Loans
1499,hesap_acma,Banking,Savings
7486,hesap_acma,Banking,Account Opening
7579,borsa,Finance,Forex
8335,hesap_acma,Banking,Account Opening
4124,borsa,Finance,Forex
8910,fx_market,Finance,Forex
7264,fx_market,Finance,Stock Market
4170,borsa,Finance,Forex
1599,kredi_basvuru,Finance,Stock Market
8777,borsa,Finance,Forex
9850,borsa,Finance,Loans
8692,borsa,Finance,Stock Market
6369,kredi_basvuru,Finance,Loans
2036,hesap_acma,Banking,Transfers
4351,fx_market,Finance,Forex
4230,kredi_basvuru,Finance,Loans
5584,hesap_acma,Banking,Savings
9931,borsa,Finance,Loans
8962,borsa,Finance,Forex
7835,hesap_acma,Banking,Account Opening
7876,fx_market,Finance,Stock Market
8000,fx_market,Finance,Stock Market
8611,kredi_basvuru,Finance,Loans
8588,kredi_basvuru,Finance,Forex
6298,hesap_acma,Banking,Savings
6986,kredi_basvuru,Finance,Loans
6140,kredi_basvuru,Finance,Loans
9955,borsa,Finance,Forex
7102,borsa,Finance,Stock Market
4424,borsa,Finance,Forex
7486,borsa,Finance,Loans
9344,fx_market,Finance,Loans
7295,kredi_basvuru,Finance,Stock Market
3146,fx_market,Finance,Loans
3410,kredi_basvuru,Finance,Forex
3418,borsa,Finance,Stock Market
2694,kredi_basvuru,Finance,Forex
8725,hesap_acma,Banking,Account Opening
5601,borsa,Finance,Loans
1012,fx_market,Finance,Loans
6201,hesap_acma,Banking,Account Opening
4127,kredi_basvuru,Finance,Forex
1545,borsa,Finance,Forex
4508,borsa,Finance,Forex
8201,kredi_basvuru,Finance,Forex
5951,borsa,Finance,Stock Market
5640,kredi_basvuru,Finance,Stock Market
9081,fx_market,Finance,Loans
8859,fx_market,Finance,Forex
1386,hesap_acma,Banking,Transfers
1845,hesap_acma,Banking,Transfers
6127,borsa,Finance,Stock Market
3165,hesap_acma,Banking,Savings
8966,hesap_acma,Banking,Savings
6665,fx_market,Finance,Forex
4611,kredi_basvuru,Finance,Stock Market
8574,fx_market,Finance,Stock Market
3019,fx_market,Finance,Forex
2243,borsa,Finance,Loans
1274,fx_market,Finance,Forex
4190,hesap_acma,Banking,Account Opening
6691,kredi_basvuru,Finance,Stock Market
4743,fx_market,Finance,Stock Market
9461,fx_market,Finance,Forex
9995,fx_market,Finance,Loans
9964,kredi_basvuru,Finance,Forex
9218,fx_market,Finance,Loans
6456,fx_market,Finance,Loans
6358,borsa,Finance,Forex
8161,borsa,Finance,Forex
2035,hesap_acma,Banking,Transfers
2151,hesap_acma,Banking,Account Opening
9019,hesap_acma,Banking,Account Opening
8751,hesap_acma,Banking,Savings
7672,kredi_basvuru,Finance,Loans
7939,borsa,Finance,Forex
4895,kredi_basvuru,Finance,Loans
7816,fx_market,Finance,Stock Market
8671,fx_market,Finance,Loans
3734,kredi_basvuru,Finance,Forex
2020,fx_market,Finance,Stock Market
8370,hesap_acma,Banking,Savings
5557,borsa,Finance,Forex
5053,kredi_basvuru,Finance,Forex
5496,hesap_acma,Banking,Transfers
4370,kredi_basvuru,Finance,Stock Market
6622,hesap_acma,Banking,Savings
9164,fx_market,Finance,Forex
7393,fx_market,Finance,Stock Market
9165,hesap_acma,Banking,Savings
2336,kredi_basvuru,Finance,Forex
6916,hesap_acma,Banking,Savings
5320,fx_market,Finance,Loans
9005,borsa,Finance,Loans
9116,borsa,Finance,Loans
4463,kredi_basvuru,Finance,Forex
8084,fx_market,Finance,Forex
2452,hesap_acma,Banking,Savings
5739,hesap_acma,Banking,Savings
9188,borsa,Finance,Forex
6492,kredi_basvuru,Finance,Forex
6245,fx_market,Finance,Forex
3255,hesap_acma,Banking,Savings
5917,borsa,Finance,Forex
7056,fx_market,Finance,Loans
1977,borsa,Finance,Forex
6869,kredi_basvuru,Finance,Stock Market
9438,borsa,Finance,Loans
1904,borsa,Finance,Forex
1176,hesap_acma,Banking,Savings
8788,kredi_basvuru,Finance,Loans
1577,fx_market,Finance,Stock Market
1651,fx_market,Finance,Loans
5178,kredi_basvuru,Finance,Forex
3593,borsa,Finance,Loans
5317,borsa,Finance,Stock Market
4536,kredi_basvuru,Finance,Loans
4950,fx_market,Finance,Loans
7836,fx_market,Finance,Forex
3507,borsa,Finance,Stock Market
6425,fx_market,Finance,Loans
9023,fx_market,Finance,Stock Market
6940,fx_market,Finance,Forex
6609,borsa,Finance,Forex
3631,fx_market,Finance,Stock Market
4682,kredi_basvuru,Finance,Loans
8924,kredi_basvuru,Finance,Forex
6514,kredi_basvuru,Finance,Loans
1829,kredi_basvuru,Finance,Stock Market
3141,kredi_basvuru,Finance,Forex
1522,fx_market,Finance,Loans
5124,fx_market,Finance,Loans
3481,fx_market,Finance,Stock Market
9958,fx_market,Finance,Forex
6649,fx_market,Finance,Forex
5361,hesap_acma,Banking,Transfers
6060,kredi_basvuru,Finance,Stock Market
3898,fx_market,Finance,Loans
5875,hesap_acma,Banking,Transfers
5937,borsa,Finance,Forex
2911,kredi_basvuru,Finance,Loans
2360,hesap_acma,Banking,Savings
6668,fx_market,Finance,Forex
5514,hesap_acma,Banking,Account Opening
4806,borsa,Finance,Loans
1671,borsa,Finance,Forex
5263,hesap_acma,Banking,Savings
5269,borsa,Finance,Loans
5167,fx_market,Finance,Stock Market
1887,fx_market,Finance,Loans
9853,borsa,Finance,Loans
8949,borsa,Finance,Stock Market
6679,kredi_basvuru,Finance,Forex
1504,borsa,Finance,Forex
1431,fx_market,Finance,Forex
2895,kredi_basvuru,Finance,Forex
3611,hesap_acma,Banking,Account Opening
1772,hesap_acma,Banking,Account Opening
1907,fx_market,Finance,Stock Market
9434,kredi_basvuru,Finance,Stock Market
4079,fx_market,Finance,Stock Market
5971,borsa,Finance,Loans
3027,kredi_basvuru,Finance,Loans
6176,borsa,Finance,Loans
2179,hesap_acma,Banking,Savings
5667,borsa,Finance,Loans
5305,kredi_basvuru,Finance,Stock Market
2455,kredi_basvuru,Finance,Loans
2725,hesap_acma,Banking,Account Opening
8468,hesap_acma,Banking,Account Opening
5413,kredi_basvuru,Finance,Stock Market
8616,borsa,Finance,Loans
1339,borsa,Finance,Forex
7908,borsa,Finance,Loans
2165,borsa,Finance,Loans
3165,hesap_acma,Banking,Savings
6084,hesap_acma,Banking,Account Opening
9402,fx_market,Finance,Forex
2511,kredi_basvuru,Finance,Loans
5558,kredi_basvuru,Finance,Loans
8153,kredi_basvuru,Finance,Stock Market
5764,borsa,Finance,Loans
