customernumber,category,subcategory,interest_count
8700,Finance,Loans,2
6786,Banking,Savings,2
8698,Finance,Loans,2
6664,Finance,Loans,2
8720,Finance,Forex,2
6786,Banking,Transfers,2
8703,Finance,Stock Market,2
4617,Finance,Stock Market,2
2232,Finance,Stock Market,2
6679,Finance,Forex,2
8827,Finance,Stock Market,2
4730,Finance,Stock Market,2
8834,Banking,Account Opening,2
2297,Banking,Savings,2
4709,Finance,Forex,2
6728,Finance,Forex,2
8829,Finance,Forex,2
2328,Finance,Stock Market,2
8778,Finance,Loans,2
4679,Finance,Stock Market,2
4718,Finance,Stock Market,2
8774,Finance,Forex,2
4613,Finance,Forex,2
2341,Finance,Stock Market,2
6752,Finance,Forex,2
2289,Finance,Forex,2
8757,Finance,Loans,2
8750,Finance,Forex,2
4644,Finance,Loans,2
8842,Finance,Loans,2
8845,Banking,Account Opening,2
6760,Finance,Stock Market,2
6764,Finance,Loans,2
2352,Finance,Stock Market,2
6766,Banking,Savings,2
2277,Finance,Loans,2
4726,Finance,Forex,2
2357,Finance,Stock Market,2
2358,Finance,Forex,2
4646,Finance,Stock Market,2
4645,Finance,Loans,2
8821,Finance,Stock Market,2
8851,Finance,Stock Market,2
2338,Finance,Loans,2
8789,Banking,Account Opening,2
4610,Banking,Account Opening,2
6913,Finance,Stock Market,2
2578,Finance,Stock Market,2
2575,Finance,Stock Market,2
2574,Finance,Stock Market,2
2574,Banking,Account Opening,2
6924,Finance,Stock Market,2
8539,Banking,Savings,2
4475,Finance,Loans,2
4476,Finance,Loans,2
4458,Finance,Forex,2
2555,Finance,Stock Market,2
2553,Finance,Stock Market,2
2548,Banking,Account Opening,2
8550,Finance,Forex,2
4481,Finance,Loans,2
2534,Finance,Loans,2
4501,Finance,Stock Market,2
4459,Banking,Savings,2
6933,Banking,Transfers,2
2523,Finance,Loans,2
6957,Finance,Forex,2
8479,Finance,Forex,2
4412,Finance,Loans,2
8485,Finance,Loans,2
4419,Finance,Stock Market,2
2627,Finance,Loans,2
4421,Finance,Stock Market,2
4424,Finance,Forex,2
4428,Finance,Loans,2
8518,Finance,Stock Market,2
8505,Finance,Loans,2
8505,Finance,Stock Market,2
8506,Finance,Loans,2
6949,Finance,Forex,2
4442,Finance,Forex,2
4444,Finance,Stock Market,2
8516,Finance,Stock Market,2
2529,Finance,Forex,2
4508,Finance,Forex,2
4596,Banking,Transfers,2
2429,Finance,Stock Market,2
4555,Finance,Stock Market,2
4562,Finance,Stock Market,2
2456,Finance,Forex,2
4563,Finance,Loans,2
6827,Finance,Stock Market,2
8658,Finance,Loans,2
2222,Finance,Stock Market,2
8668,Finance,Loans,2
8626,Banking,Account Opening,2
4578,Finance,Stock Market,2
2428,Finance,Forex,2
4582,Finance,Forex,2
2422,Banking,Savings,2
4589,Finance,Forex,2
2420,Finance,Loans,2
4590,Finance,Stock Market,2
4551,Finance,Loans,2
2473,Finance,Loans,2
8578,Finance,Forex,2
2504,Finance,Loans,2
8580,Finance,Stock Market,2
2518,Finance,Stock Market,2
2515,Finance,Forex,2
4517,Banking,Savings,2
2511,Finance,Loans,2
8590,Finance,Stock Market,2
8597,Finance,Forex,2
2503,Finance,Loans,2
8620,Banking,Transfers,2
4526,Finance,Stock Market,2
2498,Finance,Stock Market,2
4530,Banking,Savings,2
2494,Finance,Stock Market,2
8615,Finance,Loans,2
4541,Finance,Stock Market,2
4543,Finance,Loans,2
8664,Finance,Loans,2
2174,Finance,Stock Market,2
2219,Banking,Account Opening,2
6406,Finance,Stock Market,2
6415,Finance,Loans,2
1902,Finance,Stock Market,2
6414,Finance,Stock Market,2
1897,Finance,Loans,2
5046,Finance,Loans,2
6409,Finance,Forex,2
9180,Finance,Forex,2
9181,Finance,Forex,2
9193,Finance,Forex,2
6465,Finance,Forex,2
6400,Finance,Loans,2
9196,Finance,Stock Market,2
5061,Finance,Loans,2
5067,Finance,Stock Market,2
5070,Finance,Forex,2
6389,Finance,Forex,2
9212,Finance,Loans,2
1841,Finance,Forex,2
1904,Finance,Forex,2
9168,Finance,Forex,2
6427,Finance,Stock Market,2
6429,Finance,Forex,2
9118,Banking,Transfers,2
1968,Finance,Stock Market,2
6463,Finance,Stock Market,2
1960,Finance,Loans,2
9123,Finance,Stock Market,2
6456,Finance,Loans,2
4995,Finance,Stock Market,2
1953,Finance,Forex,2
1951,Finance,Loans,2
6453,Finance,Stock Market,2
9130,Finance,Loans,2
4999,Finance,Loans,2
6451,Banking,Account Opening,2
5005,Finance,Forex,2
9151,Finance,Forex,2
1918,Banking,Account Opening,2
1917,Finance,Loans,2
9213,Banking,Transfers,2
5075,Finance,Forex,2
5076,Finance,Forex,2
6349,Finance,Forex,2
9285,Finance,Stock Market,2
6341,Banking,Savings,2
1758,Finance,Stock Market,2
5133,Finance,Forex,2
1751,Finance,Stock Market,2
6335,Finance,Stock Market,2
9296,Finance,Loans,2
5139,Finance,Loans,2
9300,Finance,Stock Market,2
5142,Finance,Stock Market,2
9302,Finance,Loans,2
9303,Banking,Savings,2
5146,Finance,Loans,2
9310,Finance,Loans,2
1734,Finance,Stock Market,2
1731,Finance,Stock Market,2
1727,Finance,Forex,2
5124,Finance,Loans,2
6350,Finance,Forex,2
9218,Finance,Loans,2
1783,Banking,Transfers,2
5078,Finance,Forex,2
9229,Finance,Stock Market,2
5082,Finance,Loans,2
5088,Finance,Forex,2
1816,Finance,Loans,2
1816,Finance,Forex,2
1815,Finance,Forex,2
5096,Banking,Account Opening,2
6369,Finance,Loans,2
1805,Banking,Savings,2
9253,Finance,Forex,2
6361,Finance,Forex,2
5109,Finance,Forex,2
9263,Banking,Savings,2
9267,Banking,Transfers,2
1788,Finance,Stock Market,2
5109,Finance,Loans,2
1970,Finance,Forex,2
6472,Finance,Loans,2
6641,Finance,Forex,2
4840,Finance,Forex,2
2152,Finance,Forex,2
8961,Finance,Forex,2
8962,Finance,Forex,2
8965,Banking,Savings,2
8966,Finance,Forex,2
6599,Finance,Stock Market,2
4837,Finance,Stock Market,2
2126,Finance,Stock Market,2
4843,Finance,Loans,2
6473,Banking,Account Opening,2
2122,Finance,Stock Market,2
6577,Banking,Account Opening,2
2113,Finance,Loans,2
9001,Finance,Loans,2
9004,Finance,Forex,2
6565,Finance,Loans,2
2107,Banking,Savings,2
2104,Finance,Forex,2
8956,Banking,Savings,2
2160,Finance,Loans,2
6606,Finance,Loans,2
2162,Finance,Forex,2
8910,Finance,Forex,2
6635,Finance,Loans,2
2192,Finance,Stock Market,2
6629,Finance,Loans,2
8925,Finance,Stock Market,2
2184,Banking,Transfers,2
8926,Finance,Forex,2
6622,Finance,Forex,2
2179,Banking,Transfers,2
4809,Finance,Forex,2
6614,Finance,Stock Market,2
8938,Finance,Stock Market,2
6974,Finance,Stock Market,2
2169,Finance,Loans,2
6608,Finance,Stock Market,2
4816,Finance,Loans,2
4817,Finance,Loans,2
6560,Finance,Stock Market,2
4868,Finance,Forex,2
4881,Finance,Stock Market,2
9067,Finance,Stock Market,2
6497,Finance,Loans,2
2029,Finance,Forex,2
2028,Finance,Loans,2
9077,Finance,Stock Market,2
2020,Finance,Stock Market,2
4949,Finance,Stock Market,2
2016,Finance,Forex,2
9083,Finance,Forex,2
6487,Banking,Savings,2
9090,Finance,Stock Market,2
6481,Finance,Loans,2
1997,Banking,Account Opening,2
4967,Finance,Forex,2
1995,Banking,Account Opening,2
4970,Finance,Forex,2
6475,Finance,Stock Market,2
9107,Finance,Stock Market,2
2031,Finance,Stock Market,2
9059,Finance,Forex,2
4883,Finance,Stock Market,2
2048,Finance,Stock Market,2
9021,Finance,Forex,2
2085,Finance,Forex,2
9024,Finance,Stock Market,2
4897,Finance,Forex,2
9027,Finance,Loans,2
6538,Finance,Stock Market,2
9031,Finance,Forex,2
6534,Finance,Stock Market,2
6526,Finance,Forex,2
2062,Finance,Forex,2
6519,Finance,Stock Market,2
2058,Finance,Forex,2
6517,Finance,Forex,2
2057,Finance,Stock Market,2
2057,Finance,Loans,2
2051,Finance,Stock Market,2
4913,Finance,Forex,2
2639,Finance,Stock Market,2
4373,Finance,Loans,2
6975,Finance,Loans,2
3867,Finance,Stock Market,2
3852,Finance,Loans,2
7457,Finance,Stock Market,2
7880,Finance,Forex,2
3331,Finance,Forex,2
3860,Finance,Forex,2
7452,Finance,Loans,2
3867,Finance,Loans,2
7889,Banking,Savings,2
7897,Banking,Savings,2
7926,Finance,Stock Market,2
3887,Finance,Loans,2
7902,Finance,Stock Market,2
7906,Finance,Loans,2
7908,Finance,Loans,2
3292,Banking,Savings,2
7914,Finance,Stock Market,2
3888,Banking,Account Opening,2
3889,Finance,Loans,2
7870,Finance,Forex,2
3344,Finance,Stock Market,2
7866,Banking,Transfers,2
7472,Finance,Loans,2
3810,Finance,Stock Market,2
7497,Finance,Forex,2
3813,Finance,Forex,2
7835,Finance,Stock Market,2
3814,Finance,Loans,2
7836,Finance,Forex,2
3816,Finance,Loans,2
3819,Finance,Forex,2
3379,Finance,Stock Market,2
3826,Finance,Loans,2
7486,Finance,Loans,2
3371,Finance,Stock Market,2
7484,Finance,Forex,2
7484,Banking,Account Opening,2
7481,Finance,Loans,2
7478,Finance,Loans,2
7478,Finance,Forex,2
7924,Finance,Forex,2
7430,Finance,Stock Market,2
7353,Finance,Loans,2
3189,Finance,Loans,2
3206,Finance,Loans,2
3205,Finance,Stock Market,2
3948,Finance,Loans,2
3950,Finance,Stock Market,2
7987,Finance,Loans,2
7372,Finance,Stock Market,2
7990,Banking,Transfers,2
3191,Finance,Forex,2
7370,Finance,Loans,2
3279,Finance,Loans,2
7994,Finance,Forex,2
3959,Banking,Transfers,2
3179,Finance,Stock Market,2
3177,Finance,Stock Market,2
7997,Finance,Forex,2
3965,Finance,Forex,2
8005,Finance,Loans,2
3159,Finance,Stock Market,2
7380,Finance,Forex,2
3209,Finance,Loans,2
3213,Finance,Stock Market,2
7970,Finance,Forex,2
7430,Finance,Loans,2
3278,Banking,Savings,2
3271,Finance,Loans,2
3269,Finance,Stock Market,2
7933,Finance,Forex,2
7934,Finance,Loans,2
3900,Finance,Loans,2
3260,Finance,Forex,2
7422,Finance,Loans,2
3904,Finance,Forex,2
3917,Finance,Loans,2
3918,Finance,Stock Market,2
7406,Finance,Forex,2
3238,Finance,Forex,2
7393,Finance,Stock Market,2
3224,Finance,Loans,2
3936,Finance,Forex,2
7820,Finance,Loans,2
7817,Banking,Savings,2
3412,Banking,Savings,2
7722,Finance,Stock Market,2
7705,Finance,Loans,2
3689,Finance,Stock Market,2
3693,Finance,Forex,2
7716,Finance,Stock Market,2
7717,Finance,Forex,2
7719,Finance,Forex,2
3698,Finance,Loans,2
3529,Finance,Forex,2
7723,Finance,Forex,2
7511,Finance,Forex,2
7723,Finance,Loans,2
3700,Finance,Forex,2
3702,Finance,Forex,2
3521,Finance,Forex,2
7730,Finance,Stock Market,2
3511,Finance,Stock Market,2
7738,Finance,Stock Market,2
3508,Finance,Forex,2
3683,Finance,Forex,2
7585,Finance,Loans,2
7693,Banking,Savings,2
7590,Finance,Forex,2
3630,Finance,Stock Market,2
7624,Finance,Forex,2
3633,Finance,Loans,2
3612,Finance,Stock Market,2
7617,Finance,Stock Market,2
7646,Finance,Loans,2
3604,Finance,Forex,2
7655,Finance,Loans,2
3644,Finance,Stock Market,2
7657,Finance,Stock Market,2
7662,Finance,Forex,2
7662,Finance,Loans,2
3649,Finance,Stock Market,2
7602,Finance,Stock Market,2
7674,Finance,Stock Market,2
3663,Finance,Stock Market,2
3666,Banking,Account Opening,2
3507,Finance,Stock Market,2
7559,Finance,Forex,2
3504,Finance,Forex,2
3460,Banking,Account Opening,2
3456,Finance,Stock Market,2
3455,Finance,Forex,2
7784,Finance,Stock Market,2
7786,Finance,Loans,2
3756,Finance,Stock Market,2
3759,Finance,Loans,2
7527,Finance,Forex,2
3768,Finance,Forex,2
7794,Finance,Loans,2
3769,Finance,Stock Market,2
3776,Finance,Forex,2
3777,Finance,Loans,2
3427,Finance,Forex,2
7520,Finance,Loans,2
3422,Finance,Loans,2
7513,Banking,Savings,2
3415,Finance,Forex,2
7780,Finance,Stock Market,2
3753,Finance,Loans,2
3715,Finance,Stock Market,2
3463,Finance,Stock Market,2
3718,Finance,Forex,2
3500,Finance,Loans,2
3497,Finance,Forex,2
3494,Finance,Stock Market,2
7546,Finance,Forex,2
3734,Finance,Forex,2
3738,Finance,Loans,2
3483,Finance,Loans,2
7765,Finance,Stock Market,2
3742,Finance,Loans,2
3744,Finance,Stock Market,2
3745,Finance,Forex,2
3746,Finance,Loans,2
3471,Finance,Forex,2
3748,Finance,Loans,2
7775,Finance,Stock Market,2
3749,Finance,Stock Market,2
3974,Finance,Forex,2
3156,Finance,Loans,2
2640,Finance,Stock Market,2
4270,Finance,Stock Market,2
8315,Finance,Forex,2
4260,Finance,Stock Market,2
8320,Banking,Transfers,2
8324,Banking,Savings,2
2792,Finance,Forex,2
2791,Banking,Savings,2
8329,Finance,Loans,2
8333,Finance,Forex,2
7104,Finance,Loans,2
8365,Finance,Loans,2
8345,Finance,Forex,2
7096,Finance,Stock Market,2
2772,Finance,Loans,2
2771,Finance,Stock Market,2
4291,Banking,Account Opening,2
4293,Banking,Account Opening,2
8361,Finance,Forex,2
4293,Finance,Forex,2
8313,Finance,Stock Market,2
2809,Banking,Transfers,2
2817,Finance,Forex,2
8295,Finance,Forex,2
8266,Finance,Forex,2
7159,Finance,Forex,2
7158,Finance,Forex,2
7157,Finance,Forex,2
8269,Finance,Forex,2
8269,Finance,Stock Market,2
7153,Finance,Loans,2
8274,Finance,Forex,2
4218,Finance,Loans,2
4221,Finance,Stock Market,2
8281,Finance,Loans,2
7145,Finance,Forex,2
4227,Finance,Loans,2
4230,Finance,Loans,2
7137,Finance,Forex,2
4236,Finance,Loans,2
4239,Finance,Stock Market,2
7089,Finance,Forex,2
8366,Finance,Forex,2
3977,Finance,Loans,2
8443,Finance,Forex,2
2699,Finance,Forex,2
4363,Finance,Forex,2
4364,Banking,Savings,2
2692,Finance,Stock Market,2
5159,Finance,Stock Market,2
2683,Finance,Stock Market,2
4378,Finance,Forex,2
2681,Finance,Loans,2
2672,Finance,Forex,2
7083,Finance,Forex,2
4389,Finance,Loans,2
7003,Finance,Loans,2
6996,Finance,Stock Market,2
6993,Finance,Stock Market,2
2652,Finance,Forex,2
2651,Finance,Stock Market,2
6981,Finance,Stock Market,2
2641,Banking,Transfers,2
7031,Finance,Stock Market,2
8419,Finance,Loans,2
8417,Finance,Stock Market,2
7040,Finance,Stock Market,2
8369,Finance,Stock Market,2
7069,Finance,Stock Market,2
2746,Finance,Loans,2
4311,Finance,Forex,2
4313,Finance,Stock Market,2
8382,Finance,Forex,2
2733,Finance,Loans,2
7060,Finance,Forex,2
4322,Finance,Forex,2
2725,Finance,Stock Market,2
4324,Finance,Loans,2
2723,Finance,Stock Market,2
4330,Finance,Loans,2
7049,Finance,Loans,2
8409,Finance,Stock Market,2
2712,Finance,Loans,2
2712,Finance,Forex,2
8265,Finance,Forex,2
2869,Finance,Loans,2
8252,Finance,Stock Market,2
3047,Finance,Forex,2
3064,Finance,Stock Market,2
4061,Banking,Savings,2
8092,Finance,Loans,2
7286,Finance,Loans,2
4062,Finance,Stock Market,2
4069,Finance,Forex,2
3052,Finance,Forex,2
4070,Banking,Savings,2
7279,Finance,Loans,2
8243,Finance,Stock Market,2
4070,Finance,Stock Market,2
3041,Finance,Stock Market,2
8099,Finance,Stock Market,2
3035,Finance,Stock Market,2
3032,Finance,Stock Market,2
4080,Finance,Loans,2
4085,Finance,Forex,2
4086,Finance,Loans,2
4050,Finance,Forex,2
3072,Finance,Forex,2
8076,Finance,Forex,2
7292,Finance,Loans,2
3153,Finance,Forex,2
3140,Finance,Forex,2
3128,Finance,Loans,2
4002,Finance,Stock Market,2
3123,Finance,Stock Market,2
8036,Finance,Loans,2
4011,Finance,Stock Market,2
3110,Finance,Loans,2
3106,Finance,Forex,2
3097,Finance,Forex,2
3093,Finance,Forex,2
8061,Finance,Stock Market,2
7295,Finance,Stock Market,2
3082,Finance,Forex,2
8070,Finance,Loans,2
3080,Finance,Forex,2
3077,Banking,Transfers,2
3019,Finance,Forex,2
7264,Banking,Transfers,2
4097,Finance,Forex,2
4150,Finance,Forex,2
2942,Finance,Stock Market,2
7212,Finance,Forex,2
2937,Banking,Transfers,2
7207,Finance,Stock Market,2
8201,Banking,Account Opening,2
8201,Finance,Forex,2
7201,Finance,Forex,2
2917,Banking,Transfers,2
7196,Finance,Loans,2
7187,Banking,Savings,2
4171,Finance,Stock Market,2
2896,Banking,Transfers,2
2895,Finance,Forex,2
4178,Finance,Stock Market,2
8232,Finance,Forex,2
4179,Finance,Stock Market,2
7177,Finance,Forex,2
2949,Banking,Transfers,2
7218,Finance,Forex,2
4103,Finance,Loans,2
2952,Finance,Stock Market,2
8126,Finance,Stock Market,2
7259,Finance,Stock Market,2
8127,Finance,Forex,2
4113,Finance,Stock Market,2
7256,Finance,Stock Market,2
8140,Finance,Loans,2
4123,Finance,Loans,2
8145,Finance,Forex,2
8148,Finance,Stock Market,2
7234,Finance,Stock Market,2
8160,Finance,Stock Market,2
8162,Finance,Loans,2
7231,Finance,Forex,2
2968,Finance,Forex,2
4140,Finance,Loans,2
2958,Finance,Loans,2
2955,Finance,Forex,2
6315,Finance,Loans,2
3628,Finance,Loans,2
1720,Banking,Savings,2
6219,Finance,Forex,2
6224,Finance,Loans,2
9583,Finance,Stock Market,2
1449,Finance,Forex,2
5270,Finance,Loans,2
5269,Finance,Loans,2
5406,Finance,Loans,2
5673,Banking,Transfers,2
1599,Finance,Stock Market,2
9437,Finance,Stock Market,2
9744,Finance,Stock Market,2
6101,Banking,Account Opening,2
1438,Finance,Stock Market,2
1284,Finance,Loans,2
6228,Finance,Stock Market,2
6097,Finance,Loans,2
5684,Finance,Loans,2
1113,Finance,Loans,2
9583,Finance,Forex,2
9890,Finance,Loans,2
6074,Finance,Stock Market,2
6108,Finance,Stock Market,2
5288,Finance,Loans,2
1578,Finance,Forex,2
1267,Finance,Forex,2
1270,Finance,Forex,2
9461,Finance,Forex,2
5974,Finance,Forex,2
5656,Finance,Loans,2
1133,Finance,Loans,2
9457,Finance,Stock Market,2
6109,Finance,Stock Market,2
1457,Finance,Forex,2
5865,Finance,Forex,2
5864,Finance,Forex,2
1585,Finance,Forex,2
5544,Finance,Forex,2
5664,Finance,Loans,2
9450,Finance,Loans,2
5257,Finance,Forex,2
9911,Finance,Forex,2
9920,Finance,Loans,2
5526,Finance,Stock Market,2
1320,Finance,Forex,2
5711,Finance,Loans,2
6081,Finance,Stock Market,2
9944,Finance,Loans,2
5714,Finance,Forex,2
5714,Finance,Stock Market,2
9951,Finance,Forex,2
1068,Banking,Transfers,2
5509,Finance,Loans,2
9629,Finance,Forex,2
6008,Finance,Stock Market,2
1644,Finance,Stock Market,2
5720,Finance,Stock Market,2
5214,Finance,Loans,2
1060,Finance,Loans,2
6010,Banking,Account Opening,2
6259,Banking,Transfers,2
6252,Finance,Loans,2
5227,Finance,Loans,2
5228,Finance,Loans,2
5248,Finance,Stock Market,2
6233,Banking,Account Opening,2
1616,Banking,Savings,2
5415,Finance,Loans,2
5524,Finance,Forex,2
9735,Finance,Loans,2
9925,Finance,Forex,2
5419,Finance,Forex,2
1302,Finance,Forex,2
6252,Finance,Forex,2
1098,Finance,Stock Market,2
9607,Finance,Stock Market,2
6245,Finance,Forex,2
6004,Finance,Loans,2
1424,Finance,Forex,2
1423,Finance,Loans,2
5837,Finance,Loans,2
5971,Finance,Loans,2
5968,Finance,Stock Market,2
9464,Finance,Forex,2
5951,Finance,Stock Market,2
5917,Finance,Stock Market,2
5945,Finance,Forex,2
6145,Finance,Loans,2
5947,Finance,Forex,2
5328,Banking,Transfers,2
5617,Finance,Loans,2
9536,Finance,Forex,2
5359,Finance,Loans,2
5576,Finance,Loans,2
6141,Finance,Loans,2
5910,Finance,Forex,2
5906,Finance,Loans,2
9847,Finance,Stock Market,2
5324,Banking,Savings,2
5625,Finance,Stock Market,2
1248,Finance,Forex,2
9542,Finance,Forex,2
9802,Finance,Forex,2
9672,Finance,Loans,2
1499,Finance,Stock Market,2
5927,Banking,Account Opening,2
5344,Finance,Loans,2
9513,Finance,Forex,2
5340,Finance,Loans,2
9819,Finance,Stock Market,2
1514,Banking,Transfers,2
1515,Finance,Loans,2
1208,Banking,Savings,2
5598,Finance,Forex,2
5610,Finance,Stock Market,2
1218,Finance,Forex,2
1204,Finance,Loans,2
9814,Finance,Loans,2
9506,Finance,Stock Market,2
1228,Finance,Loans,2
1189,Finance,Forex,2
9804,Finance,Stock Market,2
9543,Banking,Account Opening,2
6185,Finance,Stock Market,2
5875,Finance,Forex,2
5952,Finance,Stock Market,2
9859,Finance,Stock Market,2
5962,Finance,Forex,2
9862,Finance,Loans,2
5556,Finance,Loans,2
6127,Finance,Stock Market,2
5556,Banking,Savings,2
1148,Finance,Stock Market,2
1564,Finance,Loans,2
1565,Banking,Transfers,2
1148,Finance,Forex,2
5642,Finance,Loans,2
1146,Finance,Stock Market,2
9871,Finance,Forex,2
9465,Finance,Stock Market,2
5876,Finance,Loans,2
1140,Banking,Account Opening,2
1139,Finance,Forex,2
5381,Finance,Forex,2
5558,Finance,Loans,2
6196,Finance,Stock Market,2
1544,Finance,Loans,2
5317,Finance,Stock Market,2
5315,Finance,Forex,2
1485,Finance,Forex,2
9783,Finance,Loans,2
5635,Finance,Forex,2
6188,Finance,Loans,2
1256,Finance,Stock Market,2
5956,Finance,Forex,2
9473,Finance,Forex,2
5305,Finance,Stock Market,2
9777,Finance,Stock Market,2
6191,Finance,Forex,2
9555,Finance,Loans,2
5561,Finance,Forex,2
9474,Finance,Forex,2
6194,Finance,Forex,2
9955,Banking,Account Opening,2
9588,Finance,Forex,2
5499,Finance,Stock Market,2
9960,Finance,Loans,2
1025,Finance,Stock Market,2
1353,Finance,Stock Market,2
5792,Finance,Forex,2
1409,Finance,Forex,2
1683,Finance,Forex,2
1028,Finance,Stock Market,2
9361,Finance,Loans,2
9363,Finance,Loans,2
1031,Finance,Loans,2
5743,Finance,Forex,2
9364,Banking,Savings,2
6280,Finance,Forex,2
9975,Finance,Stock Market,2
5445,Finance,Stock Market,2
6065,Finance,Forex,2
5803,Finance,Forex,2
5201,Finance,Loans,2
9375,Finance,Loans,2
9377,Finance,Forex,2
6273,Finance,Forex,2
9379,Finance,Loans,2
1665,Banking,Account Opening,2
5812,Finance,Forex,2
9350,Finance,Stock Market,2
5178,Finance,Forex,2
6035,Finance,Stock Market,2
1365,Finance,Loans,2
9324,Finance,Stock Market,2
9672,Finance,Forex,2
1007,Finance,Forex,2
9671,Finance,Stock Market,2
9997,Finance,Loans,2
9996,Finance,Forex,2
5774,Finance,Loans,2
5467,Banking,Savings,2
9995,Finance,Loans,2
1012,Banking,Account Opening,2
6050,Finance,Stock Market,2
1357,Finance,Forex,2
1362,Finance,Forex,2
5762,Finance,Forex,2
1702,Finance,Loans,2
9341,Finance,Stock Market,2
9664,Finance,Stock Market,2
5172,Finance,Loans,2
6295,Banking,Transfers,2
1357,Finance,Stock Market,2
9663,Finance,Stock Market,2
9346,Finance,Forex,2
5730,Finance,Stock Market,2
9355,Finance,Stock Market,2
5206,Finance,Forex,2
9392,Finance,Forex,2
1339,Finance,Forex,2
5729,Finance,Forex,2
5439,Finance,Stock Market,2
9711,Finance,Forex,2
9391,Banking,Savings,2
7124,Finance,Loans,1
7266,Finance,Stock Market,1
5952,Finance,Loans,1
6038,Banking,Savings,1
7266,Finance,Loans,1
7266,Finance,Forex,1
7265,Finance,Loans,1
7264,Finance,Stock Market,1
7126,Finance,Loans,1
7264,Banking,Account Opening,1
5951,Finance,Loans,1
7055,Finance,Loans,1
7056,Banking,Transfers,1
7262,Finance,Loans,1
7107,Finance,Loans,1
7056,Finance,Loans,1
7261,Finance,Stock Market,1
5954,Banking,Account Opening,1
7055,Banking,Savings,1
7268,Finance,Forex,1
6040,Finance,Stock Market,1
7267,Finance,Forex,1
7275,Finance,Stock Market,1
7275,Banking,Transfers,1
5950,Banking,Savings,1
7275,Banking,Savings,1
7273,Finance,Stock Market,1
7273,Finance,Loans,1
7051,Banking,Savings,1
6011,Finance,Stock Market,1
7272,Finance,Stock Market,1
5950,Finance,Loans,1
7051,Finance,Stock Market,1
7052,Banking,Account Opening,1
7123,Banking,Account Opening,1
7053,Finance,Forex,1
7270,Finance,Stock Market,1
7054,Finance,Loans,1
5955,Banking,Transfers,1
5954,Finance,Forex,1
6006,Banking,Savings,1
5955,Finance,Stock Market,1
7237,Finance,Loans,1
5960,Banking,Transfers,1
7245,Finance,Loans,1
5961,Banking,Account Opening,1
7131,Finance,Forex,1
6032,Finance,Stock Market,1
7243,Finance,Forex,1
7239,Finance,Stock Market,1
7238,Finance,Forex,1
7235,Finance,Stock Market,1
7276,Finance,Forex,1
7235,Banking,Account Opening,1
7062,Finance,Forex,1
5961,Banking,Transfers,1
7233,Finance,Loans,1
6029,Finance,Loans,1
7064,Banking,Transfers,1
7065,Finance,Forex,1
7231,Finance,Stock Market,1
7060,Finance,Loans,1
7246,Finance,Forex,1
7127,Banking,Transfers,1
7250,Banking,Account Opening,1
7257,Finance,Forex,1
6037,Finance,Loans,1
6036,Finance,Stock Market,1
7257,Banking,Transfers,1
7257,Banking,Savings,1
7107,Banking,Savings,1
7058,Banking,Account Opening,1
7255,Banking,Account Opening,1
7254,Finance,Stock Market,1
5958,Finance,Forex,1
7106,Finance,Stock Market,1
7058,Banking,Savings,1
7254,Finance,Loans,1
