customernumber,Top Categories,Total Interactions
1166,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1168,"[['Banking', 'Transfers']]",1
1171,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1172,"[['Finance', 'Stock Market']]",1
1173,"[['Finance', 'Loans']]",1
1174,"[['Finance', 'Stock Market']]",1
1176,"[['Banking', 'Savings']]",1
1177,"[['Finance', 'Stock Market']]",1
1178,"[['Banking', 'Transfers']]",1
1184,"[['Finance', 'Forex']]",1
1185,"[['Finance', 'Forex']]",1
1186,"[['Finance', 'Forex']]",1
1187,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1189,"[['Finance', 'Forex']]",2
1191,"[['Banking', 'Savings']]",1
1195,"[['Finance', 'Stock Market']]",1
1197,"[['Finance', 'Loans']]",1
1199,"[['Banking', 'Transfers']]",1
1200,"[['Finance', 'Forex']]",1
1204,"[['Finance', 'Loans']]",2
1207,"[['Finance', 'Stock Market']]",1
1208,"[['Banking', 'Savings'], ['Finance', 'Forex']]",3
1209,"[['Finance', 'Loans']]",1
1210,"[['Finance', 'Stock Market']]",1
1211,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1213,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1214,"[['Finance', 'Forex']]",1
1216,"[['Finance', 'Loans']]",1
1217,"[['Finance', 'Stock Market']]",1
1218,"[['Finance', 'Forex']]",2
1221,"[['Banking', 'Transfers']]",1
1224,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1225,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1227,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1228,"[['Finance', 'Loans']]",2
1230,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1231,"[['Banking', 'Account Opening']]",1
1235,"[['Finance', 'Loans']]",1
1236,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1237,"[['Finance', 'Stock Market']]",1
1238,"[['Finance', 'Forex']]",1
1240,"[['Finance', 'Loans']]",1
1241,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1242,"[['Finance', 'Stock Market']]",1
1243,"[['Finance', 'Forex']]",1
1244,"[['Finance', 'Stock Market']]",1
1246,"[['Finance', 'Loans']]",1
1248,"[['Finance', 'Forex'], ['Finance', 'Loans']]",3
1249,"[['Finance', 'Stock Market']]",1
1251,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1252,"[['Banking', 'Account Opening']]",1
1253,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1254,"[['Banking', 'Transfers']]",1
1256,"[['Finance', 'Stock Market'], ['Banking', 'Transfers']]",3
1257,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1258,"[['Finance', 'Forex']]",1
1260,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1261,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1263,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1264,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1265,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1267,"[['Finance', 'Forex'], ['Finance', 'Loans']]",3
1270,"[['Finance', 'Forex']]",2
1271,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1272,"[['Finance', 'Forex']]",1
1274,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1275,"[['Finance', 'Loans']]",1
1276,"[['Finance', 'Forex']]",1
1277,"[['Finance', 'Forex']]",1
1278,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1280,"[['Finance', 'Forex']]",1
1281,"[['Finance', 'Stock Market']]",1
1282,"[['Finance', 'Stock Market']]",1
1283,"[['Finance', 'Loans']]",1
1284,"[['Finance', 'Loans'], ['Finance', 'Forex']]",3
1286,"[['Finance', 'Forex']]",1
1287,"[['Finance', 'Forex']]",1
1288,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1292,"[['Banking', 'Transfers']]",1
1295,"[['Finance', 'Stock Market']]",1
1297,"[['Banking', 'Account Opening']]",1
1298,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1299,"[['Finance', 'Loans']]",1
1302,"[['Finance', 'Forex']]",2
1303,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",4
1305,"[['Finance', 'Loans']]",1
1310,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1314,"[['Finance', 'Stock Market']]",1
1315,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1316,"[['Finance', 'Stock Market']]",1
1317,"[['Banking', 'Savings']]",1
1318,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1319,"[['Banking', 'Savings']]",1
1320,"[['Finance', 'Forex']]",2
1325,"[['Finance', 'Forex']]",1
1327,"[['Finance', 'Stock Market']]",1
1331,"[['Finance', 'Stock Market']]",1
1332,"[['Banking', 'Transfers']]",1
1333,"[['Finance', 'Forex']]",1
1335,"[['Finance', 'Forex']]",1
1337,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1338,"[['Finance', 'Loans']]",1
1339,"[['Finance', 'Forex']]",2
1340,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1341,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1342,"[['Finance', 'Loans']]",1
1343,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1344,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1345,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1347,"[['Finance', 'Stock Market']]",1
1348,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1349,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1351,"[['Finance', 'Forex']]",1
1352,"[['Banking', 'Account Opening']]",1
1353,"[['Finance', 'Stock Market']]",2
1354,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1355,"[['Finance', 'Stock Market']]",1
1357,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",4
1358,"[['Banking', 'Savings']]",1
1359,"[['Banking', 'Account Opening']]",1
1360,"[['Finance', 'Stock Market']]",1
1361,"[['Banking', 'Transfers']]",1
1362,"[['Finance', 'Forex']]",2
1363,"[['Finance', 'Forex']]",1
1365,"[['Finance', 'Loans'], ['Banking', 'Savings'], ['Finance', 'Forex']]",4
1367,"[['Finance', 'Stock Market']]",1
1368,"[['Finance', 'Loans']]",1
1370,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1371,"[['Finance', 'Forex']]",1
1372,"[['Finance', 'Stock Market']]",1
1373,"[['Banking', 'Transfers']]",1
1374,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1375,"[['Finance', 'Loans']]",1
1378,"[['Finance', 'Stock Market']]",1
1379,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1380,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1382,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1383,"[['Finance', 'Loans']]",1
1384,"[['Finance', 'Loans']]",1
1385,"[['Banking', 'Account Opening']]",1
1386,"[['Banking', 'Transfers']]",1
1390,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1392,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1393,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1394,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1395,"[['Finance', 'Forex']]",1
1397,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1399,"[['Finance', 'Stock Market']]",1
1401,"[['Finance', 'Loans']]",1
1402,"[['Finance', 'Stock Market']]",1
1403,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1405,"[['Finance', 'Forex']]",1
1407,"[['Finance', 'Stock Market'], ['Banking', 'Account Opening']]",4
1408,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1409,"[['Finance', 'Forex']]",2
1412,"[['Finance', 'Loans']]",1
1413,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1414,"[['Finance', 'Loans']]",1
1415,"[['Finance', 'Forex']]",1
1416,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1418,"[['Finance', 'Forex']]",1
1419,"[['Banking', 'Savings']]",1
1421,"[['Banking', 'Savings']]",1
1422,"[['Banking', 'Savings']]",1
1423,"[['Finance', 'Loans']]",2
1424,"[['Finance', 'Forex']]",2
1425,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1426,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1427,"[['Banking', 'Savings']]",1
1429,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",3
1431,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1432,"[['Finance', 'Forex']]",1
1433,"[['Finance', 'Loans']]",1
1434,"[['Finance', 'Stock Market']]",1
1436,"[['Finance', 'Forex']]",1
1437,"[['Finance', 'Stock Market']]",1
1438,"[['Finance', 'Stock Market'], ['Finance', 'Forex'], ['Finance', 'Loans']]",4
1441,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1442,"[['Finance', 'Loans']]",1
1444,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1446,"[['Finance', 'Loans']]",1
1447,"[['Finance', 'Loans']]",1
1449,"[['Finance', 'Forex']]",2
1451,"[['Banking', 'Account Opening']]",1
1452,"[['Banking', 'Account Opening']]",1
1453,"[['Finance', 'Loans']]",1
1454,"[['Banking', 'Account Opening']]",1
1455,"[['Finance', 'Stock Market']]",1
1456,"[['Banking', 'Account Opening']]",1
1457,"[['Finance', 'Forex'], ['Finance', 'Loans']]",3
1459,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",3
1460,"[['Finance', 'Loans']]",1
1462,"[['Finance', 'Stock Market']]",1
1464,"[['Finance', 'Forex']]",1
1465,"[['Finance', 'Stock Market']]",1
1466,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1467,"[['Banking', 'Transfers']]",1
1469,"[['Banking', 'Savings']]",1
1471,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1472,"[['Finance', 'Forex']]",1
1473,"[['Finance', 'Stock Market']]",1
1474,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1475,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1477,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1478,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1479,"[['Finance', 'Forex']]",1
1480,"[['Finance', 'Loans']]",1
1482,"[['Finance', 'Loans']]",1
1483,"[['Banking', 'Savings']]",1
1484,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1485,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",4
1486,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1487,"[['Banking', 'Savings']]",1
1489,"[['Banking', 'Transfers'], ['Banking', 'Savings'], ['Finance', 'Loans']]",5
1490,"[['Finance', 'Loans']]",1
1491,"[['Banking', 'Account Opening']]",1
1492,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1494,"[['Finance', 'Loans']]",1
1495,"[['Finance', 'Stock Market']]",1
1498,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1499,"[['Finance', 'Stock Market'], ['Banking', 'Savings'], ['Finance', 'Loans']]",4
1500,"[['Finance', 'Stock Market']]",1
1501,"[['Banking', 'Transfers']]",1
1502,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1503,"[['Finance', 'Stock Market']]",1
1504,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1505,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1506,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1508,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1509,"[['Banking', 'Transfers']]",1
1510,"[['Finance', 'Forex']]",1
1511,"[['Finance', 'Stock Market']]",1
1512,"[['Finance', 'Loans']]",1
1514,"[['Banking', 'Transfers']]",2
1515,"[['Finance', 'Loans']]",2
1516,"[['Banking', 'Savings']]",1
1517,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1518,"[['Finance', 'Forex']]",1
1519,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1520,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1521,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1522,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1523,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1524,"[['Finance', 'Forex']]",1
1525,"[['Finance', 'Stock Market']]",1
1528,"[['Banking', 'Account Opening'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",3
1529,"[['Banking', 'Savings']]",1
1531,"[['Banking', 'Account Opening']]",1
1533,"[['Banking', 'Transfers']]",1
1534,"[['Finance', 'Forex']]",1
1537,"[['Finance', 'Forex']]",1
1538,"[['Finance', 'Stock Market']]",1
1539,"[['Finance', 'Forex']]",1
1540,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1541,"[['Finance', 'Loans']]",1
1542,"[['Finance', 'Stock Market']]",1
1544,"[['Finance', 'Loans'], ['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",4
1545,"[['Finance', 'Forex']]",1
1546,"[['Finance', 'Stock Market']]",1
1547,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1549,"[['Finance', 'Loans']]",1
1552,"[['Finance', 'Stock Market']]",1
1553,"[['Finance', 'Loans']]",1
1554,"[['Banking', 'Account Opening']]",1
1555,"[['Finance', 'Forex']]",1
1557,"[['Finance', 'Stock Market']]",1
1558,"[['Finance', 'Loans']]",1
1559,"[['Finance', 'Forex']]",1
1561,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1562,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1563,"[['Finance', 'Stock Market']]",1
1564,"[['Finance', 'Loans']]",2
1565,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1566,"[['Finance', 'Stock Market']]",1
1570,"[['Finance', 'Forex']]",1
1572,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1573,"[['Finance', 'Forex']]",1
1575,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1576,"[['Finance', 'Loans']]",1
1577,"[['Finance', 'Stock Market']]",1
1578,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",4
1579,"[['Finance', 'Loans']]",1
1581,"[['Finance', 'Forex']]",1
1582,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1583,"[['Banking', 'Savings']]",1
1585,"[['Finance', 'Forex']]",2
1586,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1587,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1588,"[['Banking', 'Savings']]",1
1589,"[['Finance', 'Stock Market']]",1
1590,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1592,"[['Finance', 'Stock Market']]",1
1596,"[['Banking', 'Savings']]",1
1598,"[['Finance', 'Forex']]",1
1599,"[['Finance', 'Stock Market']]",2
1600,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1601,"[['Finance', 'Loans']]",1
1602,"[['Finance', 'Loans']]",1
1605,"[['Finance', 'Forex']]",1
1606,"[['Finance', 'Loans']]",1
1610,"[['Finance', 'Stock Market']]",1
1611,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1612,"[['Banking', 'Transfers']]",1
1613,"[['Finance', 'Stock Market'], ['Finance', 'Forex']]",4
1616,"[['Banking', 'Savings'], ['Finance', 'Loans']]",3
1618,"[['Banking', 'Transfers']]",1
1620,"[['Finance', 'Forex']]",1
1622,"[['Finance', 'Stock Market']]",1
1624,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1625,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1626,"[['Finance', 'Stock Market']]",1
1628,"[['Finance', 'Loans']]",1
1630,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1632,"[['Banking', 'Transfers']]",1
1634,"[['Finance', 'Forex']]",1
1636,"[['Banking', 'Account Opening']]",1
1637,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1638,"[['Finance', 'Forex']]",1
1639,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1640,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1641,"[['Finance', 'Stock Market']]",1
1642,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1644,"[['Finance', 'Stock Market'], ['Banking', 'Savings'], ['Finance', 'Forex']]",4
1645,"[['Finance', 'Loans']]",1
1646,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1647,"[['Finance', 'Loans']]",1
1651,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1652,"[['Finance', 'Forex']]",1
1653,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1660,"[['Finance', 'Loans']]",1
1661,"[['Finance', 'Loans']]",1
1662,"[['Finance', 'Forex']]",1
1663,"[['Finance', 'Forex']]",1
1664,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1665,"[['Banking', 'Account Opening']]",2
1666,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1667,"[['Banking', 'Account Opening']]",1
1668,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1669,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1671,"[['Finance', 'Forex']]",1
1672,"[['Finance', 'Forex']]",1
1673,"[['Finance', 'Stock Market']]",1
1676,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1677,"[['Finance', 'Forex']]",1
1678,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1679,"[['Finance', 'Loans']]",1
1680,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1681,"[['Finance', 'Forex']]",1
1682,"[['Finance', 'Forex']]",1
1683,"[['Finance', 'Forex']]",2
1684,"[['Banking', 'Transfers']]",1
1685,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1686,"[['Banking', 'Savings']]",1
1688,"[['Finance', 'Stock Market']]",1
1689,"[['Finance', 'Loans']]",1
1690,"[['Finance', 'Loans']]",1
1691,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1692,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1695,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1696,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1697,"[['Finance', 'Loans']]",1
1698,"[['Finance', 'Stock Market']]",1
1700,"[['Finance', 'Stock Market']]",1
1702,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1703,"[['Finance', 'Loans']]",1
1706,"[['Banking', 'Account Opening'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1708,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1709,"[['Finance', 'Loans']]",1
1710,"[['Banking', 'Account Opening']]",1
1713,"[['Banking', 'Account Opening']]",1
1716,"[['Finance', 'Loans']]",1
1717,"[['Finance', 'Stock Market']]",1
1718,"[['Banking', 'Savings']]",1
1719,"[['Banking', 'Transfers']]",1
1720,"[['Banking', 'Savings']]",2
1721,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1722,"[['Finance', 'Stock Market']]",1
1723,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1725,"[['Finance', 'Loans']]",1
1726,"[['Finance', 'Loans']]",1
1727,"[['Finance', 'Forex']]",2
1728,"[['Finance', 'Forex']]",1
1729,"[['Finance', 'Stock Market']]",1
1731,"[['Finance', 'Stock Market'], ['Finance', 'Forex']]",3
1732,"[['Finance', 'Stock Market'], ['Finance', 'Forex']]",4
1733,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1734,"[['Finance', 'Stock Market']]",2
1735,"[['Finance', 'Forex']]",1
1736,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1737,"[['Finance', 'Forex']]",1
1740,"[['Banking', 'Account Opening']]",1
1741,"[['Banking', 'Savings']]",1
1742,"[['Finance', 'Stock Market']]",1
1743,"[['Finance', 'Loans']]",1
1745,"[['Finance', 'Forex']]",1
1746,"[['Finance', 'Forex']]",1
1747,"[['Banking', 'Account Opening'], ['Banking', 'Savings'], ['Finance', 'Stock Market']]",3
1748,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1749,"[['Finance', 'Forex']]",1
1750,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1751,"[['Finance', 'Stock Market'], ['Finance', 'Loans']]",3
1753,"[['Finance', 'Forex']]",1
1754,"[['Finance', 'Loans']]",1
1755,"[['Banking', 'Savings'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1756,"[['Finance', 'Stock Market']]",1
