customernumber,notification_id,response_time,response_type
9813,158,35,dismissed
2951,159,54,ignored
3718,160,39,dismissed
9510,161,8,ignored
7850,162,24,dismissed
8499,163,50,opened
7747,164,9,opened
4541,165,27,opened
4929,166,5,dismissed
5524,167,14,dismissed
7097,168,44,opened
2584,169,31,dismissed
3968,170,27,ignored
3759,171,37,dismissed
7861,172,46,dismissed
8562,173,28,ignored
3477,174,40,dismissed
4041,175,26,opened
6810,176,45,opened
7106,177,12,opened
7811,178,40,opened
8676,179,2,ignored
1047,180,27,ignored
2101,181,39,ignored
6687,182,19,opened
5789,183,1,ignored
3640,184,29,dismissed
8240,185,28,opened
8077,186,24,ignored
6271,187,46,opened
9957,188,33,dismissed
6032,189,26,dismissed
8524,190,24,ignored
7707,191,32,dismissed
5353,192,24,ignored
8385,193,54,opened
7483,194,59,opened
8834,195,25,dismissed
4820,196,36,dismissed
6359,197,16,opened
5530,198,20,dismissed
1139,199,59,dismissed
6454,200,22,ignored
6176,201,51,opened
4453,202,9,dismissed
3202,203,59,dismissed
3566,204,56,opened
6751,205,21,opened
6985,206,31,dismissed
7741,207,3,ignored
7563,208,20,dismissed
9444,209,43,dismissed
3191,210,1,dismissed
4618,211,59,opened
3444,212,23,ignored
8340,213,50,ignored
8390,214,10,dismissed
5567,215,24,opened
7301,216,31,dismissed
8777,217,44,opened
9547,218,52,dismissed
9385,219,37,dismissed
9064,220,40,dismissed
5702,221,56,opened
3455,222,32,opened
5555,223,59,dismissed
3080,224,43,opened
6324,225,18,opened
5758,226,13,ignored
5285,227,20,ignored
3181,228,51,opened
3279,229,3,opened
1180,230,58,ignored
9142,231,8,ignored
1337,232,28,dismissed
7071,233,13,dismissed
2158,234,25,ignored
1116,235,52,dismissed
6276,236,18,dismissed
6087,237,45,dismissed
7578,238,32,dismissed
4497,239,19,opened
1174,240,25,opened
2667,241,52,dismissed
5397,242,52,ignored
9419,243,5,opened
9611,244,18,opened
4069,245,55,dismissed
7765,246,18,dismissed
1995,247,4,opened
2284,248,31,dismissed
8389,249,22,ignored
2601,250,48,dismissed
4849,251,42,ignored
1877,252,19,opened
5266,253,1,dismissed
3830,254,10,dismissed
2111,255,11,dismissed
6092,256,1,opened
6080,257,24,opened
6240,258,38,dismissed
1062,259,20,dismissed
6913,260,18,ignored
3790,261,30,opened
4741,262,5,opened
9334,263,25,opened
8509,264,33,opened
8675,265,55,dismissed
1371,266,24,opened
8723,267,53,ignored
7030,268,7,dismissed
6147,269,14,ignored
8070,270,35,dismissed
4131,271,5,ignored
1543,272,40,opened
5270,273,28,dismissed
5902,274,18,dismissed
7516,275,32,opened
6559,276,48,ignored
2752,277,18,dismissed
8923,278,58,opened
9060,279,50,ignored
7009,280,42,dismissed
8371,281,39,opened
6577,282,16,dismissed
5305,283,14,opened
8944,284,14,opened
4919,285,53,ignored
9787,286,43,ignored
8237,287,39,opened
8810,288,55,dismissed
1786,289,23,opened
5393,290,31,dismissed
2232,291,6,dismissed
1834,292,4,opened
8325,293,51,opened
4207,294,29,ignored
4774,295,3,dismissed
1481,296,36,dismissed
6907,297,15,ignored
8061,298,13,ignored
7005,299,37,opened
1596,300,3,ignored
5018,301,33,ignored
4524,302,38,ignored
4614,303,9,opened
7792,304,33,dismissed
8952,305,6,opened
6462,306,41,dismissed
8999,307,57,opened
5530,308,30,opened
6720,309,36,dismissed
7684,310,37,opened
9645,311,9,dismissed
5903,312,51,opened
6809,313,25,dismissed
3948,314,35,opened
2010,315,6,dismissed
2931,316,46,opened
2145,317,18,ignored
5658,318,9,dismissed
2773,319,3,dismissed
9638,320,20,dismissed
6310,321,28,opened
1492,322,27,dismissed
2250,323,55,opened
7646,324,4,dismissed
9536,325,56,ignored
7522,326,13,ignored
8512,327,46,ignored
1613,328,56,ignored
5157,329,32,opened
2327,330,28,opened
9481,331,5,ignored
4509,332,10,dismissed
3051,333,30,dismissed
5560,334,9,dismissed
3609,335,15,dismissed
7603,336,28,dismissed
8035,337,57,ignored
2689,338,60,opened
2814,339,44,dismissed
2756,340,24,ignored
1615,341,56,dismissed
9055,342,28,dismissed
8256,343,48,dismissed
5713,344,44,opened
6872,345,53,opened
6791,346,48,ignored
7171,347,13,opened
4353,348,24,ignored
4351,349,60,dismissed
2381,350,15,dismissed
6281,351,5,ignored
6306,352,52,ignored
3075,353,50,ignored
8084,354,42,opened
8130,355,13,opened
3507,356,21,opened
1083,357,37,ignored
3436,358,39,dismissed
3102,359,26,dismissed
8173,360,59,ignored
3528,361,54,opened
9549,362,16,ignored
3116,363,1,ignored
8806,364,31,dismissed
7133,365,50,ignored
4016,366,29,opened
9311,367,26,dismissed
3622,368,7,dismissed
1972,369,36,ignored
3427,370,22,dismissed
8099,371,54,dismissed
3063,372,1,opened
4203,373,28,dismissed
2460,374,39,opened
6692,375,36,ignored
1854,376,11,ignored
4517,377,41,opened
6440,378,12,ignored
3479,379,9,ignored
1536,380,32,dismissed
4211,381,40,opened
3833,382,39,dismissed
1265,383,56,ignored
7732,384,17,dismissed
2694,385,31,ignored
4828,386,19,dismissed
9455,387,29,dismissed
2528,388,46,opened
2871,389,26,opened
8683,390,17,ignored
9080,391,18,dismissed
7297,392,5,ignored
8098,393,32,ignored
8661,394,37,ignored
3795,395,34,dismissed
3915,396,58,ignored
7668,397,12,ignored
9566,398,29,dismissed
2223,399,17,opened
2696,400,43,dismissed
4922,401,15,opened
8931,402,45,dismissed
7068,403,22,opened
6493,404,1,ignored
6533,405,48,opened
2406,406,5,opened
7944,407,10,dismissed
2047,408,54,dismissed
9313,409,18,opened
8542,410,40,opened
1608,411,1,dismissed
7018,412,16,opened
5153,413,22,dismissed
4054,414,32,opened
4730,415,32,opened
2000,416,5,ignored
5750,417,40,dismissed
1706,418,15,ignored
9964,419,57,opened
7262,420,55,ignored
4067,421,26,opened
3130,422,53,opened
2361,423,57,dismissed
3366,424,49,dismissed
1584,425,44,dismissed
3939,426,32,ignored
3175,427,30,dismissed
6277,428,21,dismissed
1016,429,43,dismissed
1815,430,37,opened
3222,431,50,opened
5975,432,27,dismissed
5004,433,8,ignored
7338,434,40,ignored
6176,435,33,ignored
3031,436,15,opened
1740,437,7,dismissed
9420,438,8,ignored
7070,439,41,ignored
7196,440,55,ignored
5024,441,53,dismissed
8952,442,28,dismissed
8625,443,37,ignored
5672,444,13,ignored
3822,445,12,dismissed
5111,446,8,ignored
1053,447,43,dismissed
4343,448,15,ignored
3893,449,12,dismissed
5025,450,56,opened
9213,451,12,dismissed
9065,452,43,dismissed
8393,453,33,opened
5243,454,43,dismissed
1156,455,10,opened
7182,456,15,opened
6490,457,39,dismissed
1592,458,37,opened
1390,459,36,opened
5562,460,42,dismissed
3194,461,36,opened
3791,462,3,dismissed
4022,463,46,ignored
2436,464,41,dismissed
7838,465,2,opened
4072,466,7,ignored
8741,467,51,opened
2161,468,8,opened
8558,469,26,ignored
3763,470,6,ignored
6807,471,38,opened
6716,472,58,dismissed
2180,473,37,dismissed
3410,474,14,dismissed
3198,475,37,dismissed
4399,476,24,opened
1535,477,39,opened
3114,478,9,opened
4243,479,54,opened
9888,480,20,ignored
1564,481,18,ignored
1592,482,9,dismissed
5648,483,9,dismissed
6084,484,31,dismissed
9781,485,26,opened
7351,486,17,opened
7982,487,58,opened
3324,488,54,ignored
9398,489,16,ignored
3202,490,11,dismissed
8297,491,6,ignored
1482,492,7,opened
4400,493,48,opened
8777,494,31,dismissed
1693,495,41,dismissed
1726,496,18,dismissed
6231,497,43,dismissed
8984,498,25,dismissed
9011,499,51,opened
8586,500,39,ignored
1306,501,59,dismissed
6644,502,26,opened
8578,503,14,dismissed
6802,504,6,ignored
7322,505,18,ignored
1051,506,18,ignored
1507,507,8,dismissed
4594,508,26,opened
8532,509,1,opened
5607,510,21,ignored
2869,511,41,opened
7604,512,23,dismissed
9226,513,5,ignored
8263,514,48,ignored
5361,515,43,ignored
7249,516,49,opened
3532,517,37,ignored
4376,518,13,dismissed
8504,519,13,opened
6416,520,29,ignored
4436,521,36,ignored
5046,522,46,opened
5897,523,11,ignored
6403,524,25,opened
1068,525,44,ignored
9486,526,45,dismissed
7173,527,4,dismissed
9103,528,55,opened
8573,529,46,ignored
6264,530,5,opened
4613,531,56,opened
8777,532,9,dismissed
4573,533,49,opened
5618,534,28,dismissed
8490,535,5,ignored
7573,536,10,dismissed
9667,537,31,opened
9608,538,26,opened
3746,539,20,ignored
9592,540,10,ignored
2525,541,53,ignored
2828,542,3,ignored
7156,543,15,opened
5217,544,3,opened
9551,545,9,opened
7015,546,16,opened
6197,547,43,ignored
6474,548,25,ignored
2029,549,43,dismissed
9968,550,28,dismissed
4808,551,34,ignored
5451,552,4,opened
2702,553,59,opened
5260,554,27,opened
8516,555,48,dismissed
2101,556,50,ignored
2264,557,2,opened
7390,558,10,ignored
7471,559,8,dismissed
4919,560,6,opened
8582,561,33,ignored
8335,562,54,ignored
8972,563,27,ignored
1870,564,20,ignored
3759,565,57,dismissed
8603,566,20,ignored
2029,567,55,dismissed
7487,568,40,opened
5553,569,49,ignored
8998,570,11,opened
5623,571,28,ignored
9521,572,2,opened
2766,573,50,opened
7236,574,27,opened
7089,575,29,ignored
3239,576,16,ignored
2339,577,17,ignored
6950,578,13,dismissed
3905,579,40,dismissed
9713,580,5,dismissed
7871,581,28,dismissed
6004,582,15,ignored
5223,583,48,ignored
4438,584,13,ignored
4050,585,21,ignored
9691,586,46,ignored
3634,587,55,opened
5333,588,13,ignored
9794,589,12,dismissed
3645,590,34,dismissed
4412,591,36,opened
6859,592,36,ignored
1483,593,57,opened
8494,594,35,opened
8297,595,27,dismissed
6527,596,58,dismissed
8539,597,26,dismissed
7101,598,15,dismissed
5779,599,19,ignored
3193,600,55,opened
7578,601,58,ignored
1809,602,54,ignored
7147,603,13,opened
1162,604,47,dismissed
2096,605,6,ignored
9872,606,15,dismissed
2886,607,48,dismissed
9799,608,49,opened
2733,609,31,dismissed
8404,610,44,ignored
5463,611,32,ignored
6292,612,39,opened
5353,613,30,ignored
3390,614,7,dismissed
9796,615,10,ignored
4071,616,19,dismissed
8140,617,46,opened
5255,618,42,dismissed
5723,619,37,dismissed
2004,620,54,ignored
1037,621,9,ignored
2290,622,16,opened
5652,623,40,opened
2379,624,23,dismissed
7936,625,27,ignored
7117,626,51,dismissed
9847,627,23,opened
2783,628,37,opened
5119,629,19,opened
4786,630,9,ignored
8467,631,39,dismissed
7440,632,15,opened
2849,633,11,ignored
6385,634,4,opened
3615,635,43,opened
6756,636,37,dismissed
5713,637,40,ignored
5796,638,37,dismissed
7418,639,14,ignored
8569,640,48,dismissed
9998,641,58,dismissed
2928,642,39,opened
6124,643,42,dismissed
4453,644,5,dismissed
9492,645,25,ignored
7522,646,14,opened
4268,647,9,opened
4456,648,4,dismissed
5478,649,57,ignored
6715,650,49,dismissed
4466,651,29,dismissed
9497,652,2,opened
5015,653,1,opened
3128,654,8,ignored
1795,655,52,dismissed
9587,656,22,dismissed
4392,657,31,ignored
4298,658,41,ignored
7586,659,45,opened
5078,660,37,opened
4818,661,10,dismissed
1839,662,60,dismissed
8757,663,2,opened
4868,664,22,dismissed
4693,665,21,opened
2683,666,59,ignored
9578,667,5,dismissed
2466,668,10,ignored
4450,669,27,ignored
7033,670,32,dismissed
1125,671,42,opened
1594,672,56,opened
6039,673,49,dismissed
6360,674,60,opened
1129,675,44,ignored
7828,676,39,dismissed
5832,677,60,dismissed
2051,678,21,ignored
7005,679,30,dismissed
8974,680,33,opened
7198,681,38,dismissed
9755,682,37,ignored
4899,683,16,dismissed
5913,684,41,ignored
4394,685,3,dismissed
7860,686,42,ignored
8069,687,48,opened
3131,688,29,opened
4558,689,18,opened
7147,690,53,dismissed
1387,691,8,ignored
8277,692,40,ignored
6152,693,4,opened
2514,694,59,ignored
8482,695,43,ignored
3726,696,38,ignored
4957,697,2,opened
3604,698,58,opened
3617,699,31,opened
6814,700,15,dismissed
1779,701,27,dismissed
2841,702,42,ignored
9789,703,33,opened
7865,704,42,dismissed
4634,705,6,ignored
6437,706,46,dismissed
7332,707,6,opened
1036,708,43,opened
9284,709,51,opened
9182,710,33,ignored
6637,711,60,opened
9691,712,24,ignored
4892,713,14,ignored
4548,714,11,dismissed
7612,715,8,opened
8878,716,28,opened
1496,717,21,ignored
6442,718,32,opened
6856,719,53,opened
7604,720,9,dismissed
1939,721,51,ignored
8446,722,36,ignored
4752,723,43,dismissed
8615,724,27,opened
2549,725,38,ignored
4123,726,31,ignored
8433,727,22,dismissed
5228,728,21,dismissed
1426,729,17,ignored
8458,730,45,opened
1570,731,21,dismissed
6972,732,4,dismissed
4589,733,43,opened
2521,734,49,opened
2506,735,57,ignored
7504,736,9,ignored
5104,737,9,ignored
5271,738,58,dismissed
2068,739,49,dismissed
5948,740,24,ignored
9822,741,21,dismissed
8561,742,10,opened
6087,743,36,opened
7100,744,7,dismissed
8857,745,34,ignored
1301,746,26,opened
2194,747,21,opened
4466,748,35,dismissed
6459,749,48,ignored
7894,750,24,dismissed
2286,751,17,opened
1771,752,40,ignored
1353,753,34,ignored
9714,754,50,ignored
1282,755,59,opened
2968,756,23,ignored
4018,757,33,ignored
7677,758,49,dismissed
9784,759,34,ignored
7973,760,20,opened
7527,761,59,dismissed
3451,762,59,ignored
5623,763,5,ignored
6112,764,42,ignored
5643,765,25,dismissed
9275,766,27,opened
7302,767,48,dismissed
3703,768,9,dismissed
8415,769,22,opened
5531,770,11,dismissed
6829,771,11,opened
5386,772,5,opened
8268,773,11,dismissed
3582,774,50,ignored
9529,775,53,opened
8198,776,13,opened
9679,777,36,ignored
3360,778,3,ignored
9435,779,37,opened
7111,780,15,dismissed
1673,781,19,opened
5091,782,56,dismissed
4803,783,30,dismissed
5553,784,38,dismissed
3156,785,43,opened
4104,786,54,ignored
4865,787,48,ignored
2607,788,17,dismissed
8877,789,51,dismissed
5027,790,19,opened
8051,791,3,opened
5808,792,7,ignored
6988,793,41,ignored
3335,794,33,dismissed
1698,795,12,opened
2878,796,23,opened
1192,797,30,ignored
8732,798,54,ignored
5423,799,14,opened
6859,800,27,ignored
5787,801,19,dismissed
6205,802,43,dismissed
1963,803,19,dismissed
9897,804,38,opened
6076,805,1,opened
6540,806,29,opened
9031,807,24,opened
5194,808,52,dismissed
5119,809,47,dismissed
1376,810,11,ignored
7240,811,11,opened
4349,812,10,opened
4566,813,4,opened
1870,814,57,ignored
2586,815,1,ignored
1884,816,6,dismissed
1953,817,37,dismissed
9055,818,1,opened
5741,819,17,dismissed
2095,820,21,dismissed
4339,821,51,dismissed
7820,822,42,ignored
3452,823,33,ignored
1661,824,2,dismissed
6669,825,60,dismissed
8720,826,30,dismissed
3880,827,44,dismissed
1492,828,16,ignored
5323,829,37,dismissed
7772,830,33,dismissed
8721,831,24,dismissed
3945,832,58,opened
2831,833,48,opened
6575,834,7,opened
6198,835,7,ignored
3645,836,45,ignored
3690,837,11,ignored
5268,838,44,opened
9225,839,54,dismissed
9006,840,58,dismissed
2006,841,11,ignored
3541,842,8,ignored
2831,843,1,ignored
5061,844,20,ignored
2009,845,19,dismissed
1863,846,49,opened
2933,847,59,dismissed
2727,848,38,dismissed
5507,849,11,dismissed
6738,850,4,ignored
6096,851,32,ignored
7179,852,16,dismissed
3059,853,24,ignored
7806,854,54,ignored
5089,855,5,opened
3740,856,34,dismissed
1110,857,34,opened
8143,858,17,opened
5161,859,33,ignored
3608,860,35,opened
3179,861,25,opened
2403,862,4,ignored
1222,863,11,dismissed
9194,864,34,opened
4695,865,20,ignored
1133,866,50,dismissed
1975,867,41,opened
5174,868,15,dismissed
4385,869,3,dismissed
9781,870,37,ignored
5875,871,34,ignored
6163,872,49,opened
8513,873,49,ignored
9122,874,34,dismissed
4760,875,49,ignored
7403,876,30,dismissed
5914,877,55,opened
5239,878,36,ignored
1720,879,18,dismissed
7519,880,41,opened
2452,881,37,opened
4116,882,46,opened
1277,883,23,ignored
2803,884,45,opened
2674,885,26,dismissed
4591,886,24,dismissed
6419,887,21,ignored
8516,888,12,opened
9458,889,37,opened
2508,890,50,ignored
5630,891,46,opened
2989,892,6,dismissed
2394,893,56,ignored
5587,894,19,ignored
8063,895,35,dismissed
7087,896,1,ignored
6193,897,12,opened
8527,898,52,dismissed
3660,899,38,opened
3549,900,54,opened
7514,901,9,dismissed
6523,902,9,opened
8372,903,6,ignored
8821,904,50,dismissed
1411,905,15,dismissed
4913,906,18,opened
2683,907,11,opened
6186,908,47,opened
8277,909,47,opened
3422,910,27,opened
4201,911,31,ignored
7422,912,53,ignored
8424,913,2,ignored
5980,914,52,ignored
1000,915,17,opened
7615,916,7,ignored
3644,917,30,ignored
7936,918,50,ignored
4300,919,31,ignored
4944,920,2,opened
7783,921,34,dismissed
4244,922,44,ignored
8322,923,13,dismissed
3698,924,51,opened
3962,925,52,ignored
7029,926,13,ignored
7829,927,60,opened
9314,928,46,opened
9468,929,53,ignored
2629,930,52,ignored
1104,931,42,ignored
7982,932,24,opened
7995,933,20,opened
4407,934,6,ignored
9977,935,18,dismissed
1739,936,57,opened
1792,937,15,opened
6494,938,31,opened
9859,939,26,ignored
6278,940,55,ignored
3774,941,42,opened
3005,942,38,ignored
5855,943,31,dismissed
6214,944,53,dismissed
7559,945,47,opened
8947,946,10,ignored
1413,947,16,dismissed
4939,948,24,ignored
7510,949,56,dismissed
3833,950,15,opened
2323,951,20,opened
3885,952,6,opened
6995,953,8,dismissed
8611,954,10,opened
8873,955,1,ignored
3884,956,15,dismissed
4602,957,10,opened
6206,958,8,opened
5307,959,52,opened
2563,960,11,dismissed
6322,961,48,opened
2950,962,46,ignored
7463,963,16,opened
1029,964,33,opened
9487,965,36,ignored
5619,966,51,opened
1117,967,46,ignored
2426,968,12,ignored
1883,969,32,dismissed
9391,970,59,opened
5332,971,7,dismissed
8363,972,58,ignored
6550,973,9,dismissed
3337,974,1,opened
3198,975,48,dismissed
7147,976,22,opened
8815,977,19,dismissed
1528,978,25,dismissed
7567,979,50,opened
8032,980,16,dismissed
5253,981,30,ignored
7785,982,42,opened
4708,983,35,opened
7240,984,26,opened
5380,985,15,opened
3855,986,38,opened
9138,987,22,dismissed
4979,988,2,ignored
5151,989,33,opened
6521,990,23,ignored
5553,991,45,ignored
7540,992,1,opened
2221,993,54,ignored
1475,994,16,dismissed
1307,995,33,dismissed
6357,996,30,dismissed
9869,997,5,dismissed
6209,998,24,ignored
4803,999,2,opened
2211,1000,22,opened
1136,1001,51,ignored
9848,1002,46,ignored
3543,1003,29,ignored
7978,1004,7,dismissed
6443,1005,36,opened
4180,1006,46,dismissed
8490,1007,28,dismissed
5564,1008,1,opened
8945,1009,3,opened
5521,1010,56,opened
2199,1011,41,opened
6292,1012,30,opened
1209,1013,41,ignored
1742,1014,5,opened
7675,1015,29,ignored
1228,1016,1,ignored
6426,1017,26,ignored
9976,1018,33,ignored
2736,1019,4,opened
4845,1020,10,dismissed
6480,1021,31,opened
5189,1022,58,opened
3977,1023,32,dismissed
3293,1024,28,opened
5849,1025,10,ignored
3805,1026,18,ignored
8529,1027,25,opened
4089,1028,23,dismissed
2068,1029,50,opened
3731,1030,31,opened
1023,1031,11,opened
9180,1032,20,dismissed
7535,1033,2,ignored
6660,1034,24,ignored
9497,1035,40,opened
3356,1036,50,opened
9098,1037,53,ignored
1575,1038,12,dismissed
3148,1039,28,opened
6062,1040,50,dismissed
3862,1041,59,dismissed
8783,1042,7,ignored
8776,1043,2,ignored
7807,1044,51,opened
3714,1045,54,opened
6939,1046,15,ignored
4631,1047,57,opened
7673,1048,48,ignored
6597,1049,19,dismissed
2708,1050,48,opened
8522,1051,15,ignored
2194,1052,45,ignored
8412,1053,29,opened
7892,1054,42,dismissed
2530,1055,37,opened
3630,1056,3,ignored
2001,1057,39,ignored
2621,1058,53,opened
9591,1059,32,ignored
4685,1060,49,dismissed
7206,1061,53,opened
1260,1062,23,opened
2591,1063,23,dismissed
1156,1064,59,ignored
2169,1065,6,dismissed
5152,1066,53,dismissed
7763,1067,54,dismissed
2038,1068,27,ignored
9632,1069,19,ignored
3574,1070,2,dismissed
7699,1071,12,ignored
4546,1072,2,dismissed
3521,1073,5,opened
2717,1074,17,opened
1882,1075,25,dismissed
7454,1076,26,dismissed
9382,1077,41,ignored
1332,1078,19,ignored
4300,1079,28,dismissed
7862,1080,11,ignored
2604,1081,29,ignored
9001,1082,23,dismissed
6224,1083,31,opened
6109,1084,53,opened
6902,1085,30,dismissed
8716,1086,43,opened
6785,1087,50,dismissed
8339,1088,57,ignored
5844,1089,35,opened
8195,1090,29,ignored
7352,1091,51,opened
8295,1092,13,dismissed
8981,1093,57,dismissed
4719,1094,13,dismissed
4521,1095,40,opened
9546,1096,25,dismissed
9154,1097,17,ignored
4383,1098,56,opened
9106,1099,28,opened
9898,1100,20,ignored
8836,1101,25,opened
5935,1102,2,dismissed
7443,1103,36,opened
5330,1104,34,dismissed
3579,1105,4,dismissed
7913,1106,12,ignored
5562,1107,30,opened
9994,1108,49,ignored
5468,1109,60,dismissed
5422,1110,16,ignored
9198,1111,45,opened
3909,1112,8,opened
7024,1113,50,opened
8599,1114,15,ignored
8848,1115,15,ignored
5897,1116,21,opened
9835,1117,18,ignored
3740,1118,33,dismissed
6039,1119,28,opened
6760,1120,31,ignored
5287,1121,32,opened
6570,1122,43,ignored
1951,1123,20,opened
4058,1124,51,opened
7399,1125,23,opened
4987,1126,30,opened
3908,1127,58,dismissed
3761,1128,60,dismissed
1281,1129,27,dismissed
2696,1130,12,opened
6845,1131,13,opened
2731,1132,10,opened
1518,1133,30,ignored
5545,1134,8,opened
5138,1135,13,ignored
9487,1136,45,dismissed
9428,1137,58,opened
2137,1138,59,opened
8613,1139,7,opened
8469,1140,16,dismissed
4834,1141,27,ignored
6360,1142,50,dismissed
5551,1143,20,opened
3863,1144,41,opened
8258,1145,7,dismissed
1806,1146,24,opened
7415,1147,1,opened
9984,1148,38,dismissed
6371,1149,21,ignored
3579,1150,58,opened
1155,1151,19,opened
3856,1152,21,ignored
2872,1153,49,opened
4968,1154,15,dismissed
7301,1155,49,dismissed
4270,1156,47,dismissed
3873,1157,14,opened
9249,1158,43,dismissed
9587,1159,3,dismissed
5671,1160,47,ignored
1960,1161,10,ignored
8924,1162,39,dismissed
6399,1163,18,dismissed
2763,1164,41,opened
6134,1165,12,ignored
3473,1166,45,ignored
7978,1167,24,dismissed
7224,1168,40,opened
6491,1169,2,dismissed
5047,1170,45,opened
9737,1171,3,opened
6790,1172,8,opened
4198,1173,46,ignored
3518,1174,13,ignored
2806,1175,36,dismissed
1410,1176,2,ignored
4886,1177,3,dismissed
1762,1178,29,ignored
6752,1179,49,opened
8071,1180,29,dismissed
9487,1181,12,ignored
2718,1182,11,ignored
7473,1183,4,opened
3436,1184,4,opened
8231,1185,40,ignored
1264,1186,20,dismissed
7936,1187,21,dismissed
6284,1188,19,ignored
6469,1189,53,opened
4241,1190,6,dismissed
9659,1191,41,dismissed
4830,1192,56,opened
3932,1193,17,ignored
4980,1194,49,dismissed
4913,1195,21,opened
9258,1196,7,opened
9481,1197,44,opened
4559,1198,17,opened
4317,1199,59,dismissed
4871,1200,50,dismissed
9688,1201,57,dismissed
8486,1202,13,ignored
4564,1203,32,dismissed
7808,1204,26,ignored
1857,1205,17,dismissed
9387,1206,21,opened
6292,1207,25,opened
8240,1208,25,dismissed
8981,1209,20,dismissed
1649,1210,33,ignored
5459,1211,25,dismissed
9925,1212,9,ignored
4901,1213,51,dismissed
2409,1214,25,ignored
4372,1215,34,opened
8349,1216,3,dismissed
5195,1217,44,ignored
9747,1218,25,ignored
3647,1219,57,ignored
6086,1220,32,dismissed
4472,1221,18,dismissed
7021,1222,44,dismissed
2318,1223,58,ignored
7077,1224,31,dismissed
3995,1225,32,dismissed
5501,1226,20,ignored
1698,1227,23,opened
8129,1228,6,ignored
4978,1229,20,dismissed
5455,1230,33,dismissed
7329,1231,33,ignored
3526,1232,15,dismissed
8773,1233,29,dismissed
3761,1234,43,dismissed
4368,1235,46,ignored
3179,1236,18,opened
5382,1237,45,opened
8783,1238,50,opened
9010,1239,18,dismissed
1061,1240,15,ignored
5398,1241,13,ignored
3134,1242,48,ignored
6006,1243,41,dismissed
2715,1244,19,dismissed
9693,1245,6,ignored
4623,1246,12,dismissed
