customernumber,Top Categories,Total Interactions
1126,"[['Banking', 'Savings']]",1
1128,"[['Finance', 'Forex']]",1
1129,"[['Finance', 'Forex']]",1
1130,"[['Finance', 'Loans']]",2
1131,"[['Banking', 'Account Opening']]",1
1132,"[['Banking', 'Transfers'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1133,"[['Finance', 'Forex']]",1
1137,"[['Finance', 'Stock Market']]",1
1139,"[['Banking', 'Account Opening']]",1
1141,"[['Finance', 'Stock Market']]",1
1144,"[['Finance', 'Stock Market']]",1
1146,"[['Finance', 'Loans'], ['Finance', 'Forex']]",3
1148,"[['Finance', 'Loans']]",1
1149,"[['Finance', 'Forex']]",1
1150,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1151,"[['Banking', 'Account Opening']]",1
1153,"[['Finance', 'Forex']]",1
1155,"[['Finance', 'Stock Market']]",1
1156,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1157,"[['Finance', 'Loans']]",2
1158,"[['Finance', 'Loans']]",1
1159,"[['Finance', 'Loans']]",1
1160,"[['Finance', 'Loans']]",2
1161,"[['Finance', 'Forex']]",2
1162,"[['Finance', 'Loans']]",1
1163,"[['Finance', 'Forex']]",1
1165,"[['Finance', 'Stock Market']]",1
1166,"[['Finance', 'Forex']]",1
1167,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1168,"[['Finance', 'Stock Market']]",1
1170,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1171,"[['Finance', 'Forex'], ['Banking', 'Transfers']]",3
1172,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1173,"[['Finance', 'Loans']]",1
1174,"[['Finance', 'Loans']]",1
1175,"[['Finance', 'Forex']]",1
1176,"[['Banking', 'Savings']]",1
1177,"[['Banking', 'Transfers']]",1
1178,"[['Finance', 'Forex']]",1
1181,"[['Finance', 'Forex']]",1
1184,"[['Finance', 'Forex']]",1
1185,"[['Finance', 'Loans']]",1
1186,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1187,"[['Finance', 'Loans']]",1
1190,"[['Finance', 'Stock Market']]",1
1191,"[['Banking', 'Savings'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1192,"[['Banking', 'Account Opening'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1194,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1196,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1198,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1199,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1200,"[['Finance', 'Stock Market'], ['Banking', 'Savings'], ['Banking', 'Transfers']]",4
1202,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1203,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1204,"[['Finance', 'Stock Market']]",1
1205,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1206,"[['Finance', 'Loans']]",1
1208,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1210,"[['Finance', 'Stock Market']]",1
1212,"[['Finance', 'Forex']]",2
1213,"[['Finance', 'Loans'], ['Banking', 'Transfers'], ['Finance', 'Forex']]",4
1214,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1215,"[['Finance', 'Loans']]",1
1217,"[['Finance', 'Forex'], ['Banking', 'Account Opening'], ['Finance', 'Loans']]",4
1218,"[['Finance', 'Loans']]",1
1219,"[['Finance', 'Loans']]",1
1221,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1222,"[['Banking', 'Transfers']]",1
1225,"[['Banking', 'Transfers']]",1
1226,"[['Finance', 'Stock Market']]",1
1228,"[['Finance', 'Forex']]",1
1229,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1230,"[['Finance', 'Loans']]",1
1231,"[['Finance', 'Forex']]",1
1232,"[['Finance', 'Forex']]",1
1235,"[['Finance', 'Loans']]",1
1239,"[['Finance', 'Stock Market'], ['Banking', 'Account Opening'], ['Banking', 'Savings']]",4
1240,"[['Finance', 'Stock Market']]",1
1242,"[['Finance', 'Forex']]",1
1243,"[['Banking', 'Transfers']]",1
1244,"[['Finance', 'Loans']]",1
1245,"[['Finance', 'Loans']]",2
1247,"[['Finance', 'Forex']]",2
1248,"[['Banking', 'Account Opening'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",4
1253,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Forex']]",4
1254,"[['Finance', 'Forex']]",1
1255,"[['Finance', 'Forex']]",1
1256,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1257,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Stock Market']]",3
1259,"[['Finance', 'Forex']]",1
1260,"[['Finance', 'Forex']]",1
1262,"[['Finance', 'Forex']]",1
1263,"[['Finance', 'Stock Market']]",1
1264,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1265,"[['Finance', 'Loans']]",1
1267,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1268,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1270,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1272,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1273,"[['Finance', 'Forex']]",1
1275,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1276,"[['Finance', 'Forex']]",1
1277,"[['Finance', 'Forex']]",1
1279,"[['Banking', 'Savings'], ['Banking', 'Transfers'], ['Finance', 'Forex']]",3
1280,"[['Finance', 'Stock Market'], ['Finance', 'Forex']]",3
1281,"[['Finance', 'Loans']]",1
1282,"[['Finance', 'Stock Market']]",1
1283,"[['Finance', 'Loans']]",1
1286,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1288,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1289,"[['Banking', 'Savings']]",1
1290,"[['Finance', 'Stock Market']]",1
1291,"[['Finance', 'Stock Market']]",1
1292,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1293,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1295,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1296,"[['Banking', 'Account Opening']]",1
1297,"[['Finance', 'Stock Market']]",1
1298,"[['Finance', 'Stock Market']]",1
1299,"[['Finance', 'Forex']]",1
1301,"[['Finance', 'Forex']]",1
1302,"[['Banking', 'Savings']]",1
1303,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1304,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1309,"[['Finance', 'Stock Market'], ['Finance', 'Loans']]",3
1311,"[['Finance', 'Loans']]",1
1312,"[['Finance', 'Loans']]",1
1313,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1314,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1316,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1317,"[['Finance', 'Stock Market']]",1
1318,"[['Finance', 'Forex']]",1
1320,"[['Finance', 'Forex'], ['Banking', 'Account Opening'], ['Finance', 'Loans']]",4
1321,"[['Banking', 'Account Opening']]",1
1322,"[['Banking', 'Transfers']]",1
1324,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",4
1325,"[['Banking', 'Transfers']]",1
1326,"[['Finance', 'Loans']]",1
1327,"[['Banking', 'Account Opening'], ['Banking', 'Transfers']]",2
1329,"[['Banking', 'Transfers']]",1
1331,"[['Banking', 'Savings']]",1
1335,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1337,"[['Finance', 'Stock Market']]",1
1338,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1339,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1340,"[['Banking', 'Account Opening']]",1
1341,"[['Finance', 'Forex']]",1
1342,"[['Finance', 'Loans']]",2
1343,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1344,"[['Finance', 'Loans']]",1
1346,"[['Banking', 'Account Opening']]",2
1347,"[['Finance', 'Loans'], ['Banking', 'Transfers']]",3
1348,"[['Banking', 'Transfers'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1349,"[['Finance', 'Loans']]",1
1350,"[['Banking', 'Transfers']]",1
1352,"[['Banking', 'Account Opening']]",1
1353,"[['Finance', 'Forex']]",1
1355,"[['Finance', 'Loans']]",1
1358,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1359,"[['Finance', 'Loans']]",1
1360,"[['Finance', 'Stock Market']]",1
1361,"[['Finance', 'Loans'], ['Banking', 'Transfers']]",3
1362,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1365,"[['Finance', 'Loans']]",1
1366,"[['Banking', 'Savings'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1367,"[['Banking', 'Account Opening'], ['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1369,"[['Banking', 'Savings']]",1
1370,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1372,"[['Finance', 'Loans'], ['Finance', 'Forex']]",3
1373,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1374,"[['Banking', 'Transfers']]",1
1377,"[['Finance', 'Stock Market']]",1
1380,"[['Finance', 'Forex']]",1
1381,"[['Finance', 'Forex']]",1
1382,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1383,"[['Banking', 'Account Opening']]",1
1389,"[['Banking', 'Transfers']]",1
1391,"[['Finance', 'Stock Market']]",1
1392,"[['Finance', 'Loans']]",1
1393,"[['Finance', 'Forex']]",1
1394,"[['Finance', 'Stock Market']]",1
1396,"[['Finance', 'Loans']]",1
1397,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1399,"[['Banking', 'Savings'], ['Banking', 'Transfers']]",2
1400,"[['Finance', 'Loans'], ['Finance', 'Stock Market'], ['Finance', 'Forex']]",5
1401,"[['Finance', 'Forex'], ['Finance', 'Loans']]",3
1402,"[['Banking', 'Transfers']]",1
1403,"[['Finance', 'Forex']]",1
1405,"[['Banking', 'Account Opening'], ['Banking', 'Savings'], ['Finance', 'Loans']]",3
1406,"[['Finance', 'Loans']]",1
1408,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1411,"[['Finance', 'Forex']]",1
1414,"[['Finance', 'Stock Market'], ['Finance', 'Loans']]",3
1416,"[['Finance', 'Loans']]",1
1417,"[['Finance', 'Stock Market']]",1
1419,"[['Finance', 'Stock Market']]",2
1420,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1421,"[['Banking', 'Transfers']]",1
1422,"[['Finance', 'Loans']]",2
1423,"[['Banking', 'Savings']]",1
1424,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1427,"[['Finance', 'Stock Market']]",1
1428,"[['Finance', 'Forex']]",1
1429,"[['Finance', 'Stock Market']]",1
1430,"[['Finance', 'Forex']]",2
1431,"[['Finance', 'Loans'], ['Banking', 'Savings']]",3
1432,"[['Finance', 'Stock Market']]",1
1433,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1434,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1436,"[['Finance', 'Loans']]",1
1437,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1438,"[['Finance', 'Forex']]",1
1439,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1440,"[['Finance', 'Forex']]",1
1441,"[['Finance', 'Loans']]",1
1442,"[['Finance', 'Forex']]",1
1444,"[['Banking', 'Account Opening'], ['Banking', 'Savings']]",2
1445,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1447,"[['Finance', 'Stock Market']]",1
1449,"[['Finance', 'Stock Market']]",1
1451,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1452,"[['Banking', 'Savings']]",1
1453,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1454,"[['Banking', 'Account Opening']]",1
1455,"[['Finance', 'Stock Market']]",1
1456,"[['Finance', 'Loans']]",1
1458,"[['Finance', 'Stock Market']]",1
1459,"[['Finance', 'Forex']]",1
1461,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1462,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1463,"[['Finance', 'Stock Market']]",1
1464,"[['Finance', 'Stock Market']]",2
1467,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1469,"[['Finance', 'Stock Market']]",1
1470,"[['Finance', 'Loans']]",1
1471,"[['Finance', 'Loans']]",3
1472,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1474,"[['Finance', 'Loans']]",1
1479,"[['Finance', 'Stock Market'], ['Banking', 'Savings']]",3
1481,"[['Finance', 'Forex']]",1
1482,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1483,"[['Finance', 'Forex']]",2
1485,"[['Finance', 'Loans']]",1
1487,"[['Finance', 'Loans']]",1
1488,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1489,"[['Finance', 'Forex']]",2
1492,"[['Finance', 'Forex']]",1
1493,"[['Finance', 'Stock Market']]",1
1494,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1495,"[['Banking', 'Savings']]",1
1496,"[['Banking', 'Savings']]",2
1498,"[['Finance', 'Stock Market']]",1
1499,"[['Banking', 'Savings']]",1
1500,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1503,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1504,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",3
1507,"[['Finance', 'Forex']]",2
1508,"[['Finance', 'Forex']]",1
1509,"[['Finance', 'Forex']]",1
1510,"[['Banking', 'Transfers']]",1
1512,"[['Finance', 'Stock Market']]",1
1513,"[['Finance', 'Forex']]",1
1516,"[['Finance', 'Loans']]",1
1517,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1520,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1521,"[['Finance', 'Stock Market']]",1
1522,"[['Finance', 'Forex']]",1
1524,"[['Finance', 'Forex']]",1
1527,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1528,"[['Finance', 'Loans']]",1
1529,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1532,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1533,"[['Finance', 'Stock Market'], ['Banking', 'Savings'], ['Finance', 'Forex']]",4
1534,"[['Finance', 'Stock Market']]",1
1536,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1537,"[['Finance', 'Loans']]",1
1538,"[['Finance', 'Loans']]",1
1539,"[['Finance', 'Stock Market']]",2
1540,"[['Banking', 'Account Opening']]",1
1543,"[['Finance', 'Loans']]",1
1544,"[['Finance', 'Forex']]",1
1545,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1546,"[['Banking', 'Transfers']]",2
1547,"[['Finance', 'Stock Market']]",2
1548,"[['Finance', 'Forex']]",1
1550,"[['Finance', 'Forex']]",1
1551,"[['Finance', 'Loans']]",1
1552,"[['Banking', 'Account Opening']]",1
1553,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",3
1555,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1557,"[['Finance', 'Stock Market']]",1
1559,"[['Finance', 'Stock Market']]",3
1560,"[['Finance', 'Forex']]",1
1561,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1563,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1564,"[['Finance', 'Loans']]",1
1566,"[['Finance', 'Stock Market'], ['Finance', 'Loans']]",3
1567,"[['Banking', 'Account Opening']]",1
1569,"[['Finance', 'Loans']]",1
1570,"[['Banking', 'Savings']]",1
1571,"[['Banking', 'Savings']]",1
1572,"[['Banking', 'Account Opening'], ['Banking', 'Transfers']]",2
1575,"[['Finance', 'Loans']]",2
1576,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1577,"[['Finance', 'Stock Market']]",1
1579,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1580,"[['Banking', 'Savings'], ['Finance', 'Loans']]",2
1584,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1585,"[['Finance', 'Stock Market']]",1
1586,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1589,"[['Finance', 'Loans']]",1
1591,"[['Finance', 'Loans']]",1
1593,"[['Finance', 'Loans']]",1
1594,"[['Finance', 'Loans']]",1
1596,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1597,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1602,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1603,"[['Finance', 'Stock Market'], ['Banking', 'Savings']]",3
1605,"[['Finance', 'Loans']]",1
1606,"[['Banking', 'Savings']]",2
1607,"[['Finance', 'Loans']]",1
1608,"[['Finance', 'Loans']]",1
1610,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",3
1611,"[['Finance', 'Stock Market'], ['Finance', 'Forex'], ['Finance', 'Loans']]",4
1614,"[['Finance', 'Forex']]",2
1615,"[['Finance', 'Loans']]",1
1616,"[['Finance', 'Stock Market']]",1
1619,"[['Finance', 'Stock Market']]",1
1621,"[['Banking', 'Savings']]",1
1622,"[['Finance', 'Loans']]",1
1625,"[['Finance', 'Forex']]",1
1626,"[['Banking', 'Transfers']]",1
1627,"[['Banking', 'Transfers']]",1
1628,"[['Finance', 'Stock Market']]",1
1630,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1631,"[['Finance', 'Forex']]",1
1633,"[['Finance', 'Forex']]",1
1634,"[['Finance', 'Forex'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1635,"[['Banking', 'Transfers'], ['Finance', 'Forex'], ['Finance', 'Stock Market']]",4
1636,"[['Finance', 'Forex']]",1
1637,"[['Banking', 'Transfers']]",1
1638,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1640,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1643,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1644,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1646,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1648,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1651,"[['Banking', 'Transfers']]",1
1652,"[['Banking', 'Transfers'], ['Finance', 'Loans']]",2
1654,"[['Banking', 'Transfers']]",1
1657,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1658,"[['Finance', 'Stock Market']]",1
1659,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1660,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1663,"[['Finance', 'Forex']]",1
1665,"[['Banking', 'Account Opening'], ['Banking', 'Transfers'], ['Finance', 'Forex']]",3
1666,"[['Finance', 'Forex']]",1
1667,"[['Finance', 'Loans']]",1
1669,"[['Finance', 'Stock Market'], ['Banking', 'Account Opening']]",3
1670,"[['Finance', 'Forex']]",1
1671,"[['Finance', 'Loans']]",1
1672,"[['Finance', 'Stock Market']]",1
1673,"[['Banking', 'Account Opening'], ['Finance', 'Loans']]",2
1674,"[['Finance', 'Stock Market']]",1
1675,"[['Banking', 'Account Opening']]",1
1676,"[['Finance', 'Loans']]",1
1679,"[['Finance', 'Forex']]",1
1680,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1681,"[['Finance', 'Loans']]",1
1682,"[['Finance', 'Stock Market']]",1
1685,"[['Finance', 'Forex']]",1
1686,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1690,"[['Banking', 'Account Opening']]",1
1691,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1692,"[['Banking', 'Transfers']]",1
1693,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1699,"[['Finance', 'Forex']]",1
1700,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1701,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1702,"[['Finance', 'Loans']]",1
1703,"[['Finance', 'Forex']]",1
1704,"[['Finance', 'Loans']]",1
1705,"[['Banking', 'Account Opening'], ['Finance', 'Loans'], ['Finance', 'Stock Market']]",3
1706,"[['Banking', 'Transfers']]",1
1707,"[['Banking', 'Transfers'], ['Finance', 'Stock Market']]",2
1708,"[['Banking', 'Account Opening'], ['Finance', 'Forex'], ['Finance', 'Loans']]",3
1710,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1712,"[['Banking', 'Savings'], ['Finance', 'Forex']]",2
1713,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1714,"[['Banking', 'Transfers']]",2
1716,"[['Finance', 'Loans']]",1
1717,"[['Finance', 'Loans']]",1
1718,"[['Finance', 'Loans']]",1
1719,"[['Finance', 'Loans']]",2
1720,"[['Banking', 'Account Opening'], ['Finance', 'Stock Market']]",2
1723,"[['Finance', 'Forex']]",2
1725,"[['Banking', 'Transfers']]",1
1726,"[['Finance', 'Stock Market']]",1
1727,"[['Finance', 'Forex']]",1
1728,"[['Finance', 'Forex']]",1
1729,"[['Finance', 'Forex'], ['Banking', 'Savings']]",4
1730,"[['Finance', 'Forex'], ['Finance', 'Loans']]",2
1733,"[['Finance', 'Loans']]",2
1735,"[['Finance', 'Stock Market']]",1
1736,"[['Banking', 'Account Opening'], ['Finance', 'Forex']]",2
1740,"[['Finance', 'Loans']]",1
1743,"[['Finance', 'Loans']]",1
1744,"[['Finance', 'Loans']]",2
1745,"[['Finance', 'Loans'], ['Finance', 'Stock Market']]",2
1746,"[['Banking', 'Transfers']]",1
1747,"[['Finance', 'Loans']]",1
1749,"[['Banking', 'Savings']]",1
1751,"[['Finance', 'Loans']]",1
1753,"[['Finance', 'Stock Market']]",1
1754,"[['Finance', 'Forex']]",1
1755,"[['Finance', 'Loans']]",1
1756,"[['Finance', 'Stock Market']]",1
1757,"[['Finance', 'Forex']]",1
1758,"[['Finance', 'Loans']]",1
1763,"[['Finance', 'Forex']]",1
1765,"[['Finance', 'Loans']]",1
1767,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1768,"[['Finance', 'Loans'], ['Banking', 'Transfers']]",3
1770,"[['Banking', 'Account Opening']]",1
1771,"[['Banking', 'Savings'], ['Finance', 'Stock Market']]",2
1772,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",3
1774,"[['Banking', 'Transfers'], ['Finance', 'Forex']]",2
1775,"[['Banking', 'Transfers']]",1
1776,"[['Finance', 'Forex']]",1
1777,"[['Finance', 'Forex'], ['Finance', 'Stock Market']]",2
1778,"[['Finance', 'Forex']]",1
1780,"[['Finance', 'Loans']]",2
