customernumber,category,subcategory,interest_count
1780,Finance,Loans,2
5030,Finance,Stock Market,2
4110,Finance,Forex,2
8024,Finance,Stock Market,2
6282,Finance,Forex,2
5063,Finance,Loans,2
8020,Finance,Forex,2
5065,Finance,Stock Market,2
4110,Finance,Loans,2
6275,Finance,Forex,2
9195,Finance,Stock Market,2
7191,Finance,Stock Market,2
9209,Banking,Transfers,2
1861,Finance,Forex,2
3190,Finance,Loans,2
5072,Finance,Loans,2
3192,Finance,Stock Market,2
4117,Banking,Transfers,2
7184,Finance,Forex,2
4078,Finance,Loans,2
6295,Finance,Forex,2
9175,Finance,Loans,2
3165,Finance,Stock Market,2
1914,Banking,Transfers,2
5038,Finance,Loans,2
5038,Finance,Stock Market,2
9178,Finance,Forex,2
1907,Finance,Stock Market,2
3170,Finance,Stock Market,2
9182,Finance,Forex,2
1903,Finance,Forex,2
9183,Finance,Loans,2
5043,Finance,Loans,2
2113,Finance,Stock Market,2
5045,Finance,Forex,2
9215,Finance,Forex,2
1856,Finance,Forex,2
1855,Finance,Forex,2
7988,Finance,Forex,2
7206,Finance,Stock Market,2
9256,Banking,Savings,2
9260,Finance,Loans,2
7221,Finance,Forex,2
1808,Finance,Loans,2
7989,Finance,Stock Market,2
1800,Finance,Stock Market,2
6266,Finance,Stock Market,2
1799,Finance,Loans,2
9274,Finance,Stock Market,2
5121,Finance,Forex,2
5122,Finance,Forex,2
5124,Finance,Forex,2
3239,Finance,Forex,2
7998,Banking,Transfers,2
9248,Finance,Stock Market,2
5095,Banking,Transfers,2
3209,Finance,Loans,2
1827,Finance,Stock Market,2
6248,Finance,Stock Market,2
1829,Finance,Loans,2
4096,Finance,Stock Market,2
3202,Finance,Stock Market,2
9238,Finance,Forex,2
5088,Finance,Loans,2
9230,Finance,Forex,2
8006,Finance,Stock Market,2
9225,Finance,Forex,2
9222,Finance,Stock Market,2
1848,Banking,Account Opening,2
6266,Banking,Savings,2
6439,Finance,Loans,2
4098,Banking,Savings,2
6442,Finance,Forex,2
4425,Finance,Stock Market,2
4617,Finance,Loans,2
2760,Finance,Loans,2
4427,Finance,Loans,2
6720,Finance,Forex,2
2511,Finance,Forex,2
2508,Finance,Stock Market,2
4626,Finance,Stock Market,2
4616,Finance,Loans,2
6897,Banking,Account Opening,2
2500,Finance,Stock Market,2
6898,Finance,Loans,2
4631,Finance,Stock Market,2
8404,Finance,Loans,2
6899,Finance,Loans,2
6890,Finance,Stock Market,2
2521,Finance,Forex,2
8671,Finance,Stock Market,2
6735,Finance,Loans,2
2552,Finance,Forex,2
8617,Finance,Loans,2
2545,Finance,Stock Market,2
2746,Banking,Account Opening,2
2749,Finance,Forex,2
4601,Finance,Forex,2
2754,Finance,Stock Market,2
6725,Finance,Stock Market,2
8424,Finance,Forex,2
8634,Finance,Loans,2
4610,Finance,Stock Market,2
2531,Finance,Loans,2
4611,Banking,Transfers,2
2526,Finance,Stock Market,2
4417,Finance,Loans,2
4641,Finance,Stock Market,2
2118,Finance,Stock Market,2
8374,Finance,Stock Market,2
6920,Finance,Stock Market,2
8704,Finance,Forex,2
2450,Finance,Loans,2
8707,Finance,Forex,2
6681,Finance,Loans,2
8713,Finance,Forex,2
6675,Finance,Loans,2
2800,Banking,Transfers,2
6929,Finance,Loans,2
2436,Finance,Stock Market,2
6931,Finance,Loans,2
8371,Finance,Loans,2
4388,Finance,Forex,2
4676,Finance,Loans,2
6685,Finance,Forex,2
8700,Finance,Loans,2
2485,Finance,Loans,2
2788,Finance,Loans,2
8676,Finance,Forex,2
2479,Finance,Forex,2
6910,Finance,Forex,2
2474,Finance,Stock Market,2
4652,Finance,Forex,2
2787,Finance,Loans,2
6697,Finance,Forex,2
8698,Finance,Forex,2
2795,Finance,Loans,2
4397,Finance,Forex,2
2457,Finance,Loans,2
2457,Banking,Savings,2
4661,Finance,Stock Market,2
2798,Finance,Stock Market,2
2552,Finance,Stock Market,2
6741,Finance,Stock Market,2
8615,Finance,Loans,2
6844,Finance,Stock Market,2
6800,Finance,Loans,2
8523,Finance,Loans,2
6798,Finance,Stock Market,2
8532,Finance,Stock Market,2
6793,Finance,Loans,2
8484,Finance,Forex,2
6790,Finance,Stock Market,2
2690,Banking,Transfers,2
6845,Finance,Stock Market,2
6848,Finance,Stock Market,2
2702,Finance,Forex,2
8550,Finance,Loans,2
6851,Finance,Forex,2
4491,Finance,Stock Market,2
8519,Banking,Savings,2
4527,Finance,Stock Market,2
4586,Finance,Stock Market,2
2667,Finance,Loans,2
4507,Finance,Stock Market,2
6817,Finance,Loans,2
4519,Finance,Forex,2
8502,Banking,Transfers,2
8492,Finance,Stock Market,2
4522,Finance,Forex,2
2663,Finance,Loans,2
2649,Banking,Savings,2
8511,Finance,Forex,2
4524,Finance,Stock Market,2
2656,Finance,Stock Market,2
2686,Finance,Stock Market,2
2654,Finance,Forex,2
8513,Finance,Loans,2
6782,Finance,Stock Market,2
4545,Finance,Stock Market,2
8557,Finance,Loans,2
8604,Finance,Loans,2
8596,Finance,Loans,2
4574,Finance,Loans,2
8598,Finance,Stock Market,2
4576,Banking,Account Opening,2
2571,Finance,Loans,2
8603,Finance,Forex,2
6752,Finance,Forex,2
4489,Finance,Forex,2
4459,Finance,Loans,2
2567,Banking,Transfers,2
4583,Finance,Loans,2
2565,Finance,Forex,2
2738,Finance,Forex,2
8438,Finance,Loans,2
2585,Finance,Loans,2
6863,Finance,Loans,2
4567,Finance,Forex,2
2725,Finance,Stock Market,2
8456,Finance,Forex,2
2723,Finance,Stock Market,2
8580,Finance,Loans,2
6767,Finance,Stock Market,2
4474,Finance,Stock Market,2
4478,Finance,Forex,2
4561,Finance,Forex,2
6773,Finance,Loans,2
2606,Finance,Loans,2
8569,Banking,Savings,2
4555,Finance,Stock Market,2
8565,Finance,Forex,2
8467,Finance,Forex,2
6663,Finance,Forex,2
6936,Banking,Account Opening,2
4385,Finance,Stock Market,2
8910,Finance,Loans,2
4274,Banking,Account Opening,2
6517,Finance,Loans,2
2228,Finance,Stock Market,2
4822,Finance,Stock Market,2
8904,Finance,Forex,2
8240,Finance,Stock Market,2
6506,Finance,Forex,2
6523,Finance,Stock Market,2
8919,Finance,Forex,2
2958,Finance,Forex,2
4263,Finance,Loans,2
2209,Finance,Forex,2
6501,Finance,Loans,2
4262,Finance,Stock Market,2
4277,Finance,Stock Market,2
8260,Finance,Stock Market,2
6555,Finance,Stock Market,2
6547,Finance,Stock Market,2
4789,Finance,Forex,2
6554,Finance,Forex,2
6553,Finance,Forex,2
8867,Finance,Forex,2
4792,Finance,Forex,2
6998,Finance,Forex,2
2921,Finance,Loans,2
8879,Finance,Loans,2
6998,Finance,Stock Market,2
6541,Finance,Stock Market,2
6538,Finance,Stock Market,2
8874,Finance,Stock Market,2
8266,Banking,Savings,2
4286,Finance,Forex,2
8923,Finance,Loans,2
8923,Finance,Stock Market,2
2204,Finance,Stock Market,2
4864,Finance,Stock Market,2
6465,Finance,Stock Market,2
4246,Finance,Loans,2
4245,Finance,Forex,2
2151,Finance,Forex,2
4862,Finance,Forex,2
2148,Finance,Forex,2
6453,Finance,Stock Market,2
8928,Banking,Transfers,2
7050,Finance,Loans,2
4873,Finance,Forex,2
3001,Finance,Loans,2
4874,Finance,Loans,2
7061,Finance,Stock Market,2
8994,Finance,Loans,2
8963,Banking,Savings,2
8957,Finance,Forex,2
8956,Finance,Loans,2
9433,Banking,Transfers,2
2985,Banking,Savings,2
4249,Finance,Forex,2
6471,Finance,Forex,2
2168,Finance,Stock Market,2
4250,Banking,Savings,2
8211,Finance,Loans,2
7028,Finance,Stock Market,2
2187,Finance,Forex,2
8935,Finance,Loans,2
2965,Banking,Account Opening,2
7025,Finance,Loans,2
2199,Finance,Forex,2
2201,Finance,Forex,2
2915,Finance,Loans,2
8278,Finance,Forex,2
2427,Finance,Forex,2
4730,Finance,Loans,2
4711,Finance,Forex,2
4357,Finance,Loans,2
6628,Finance,Loans,2
4348,Finance,Forex,2
4729,Banking,Transfers,2
4729,Finance,Loans,2
4344,Finance,Stock Market,2
6638,Finance,Forex,2
7541,Finance,Loans,2
6609,Finance,Forex,2
2843,Finance,Stock Market,2
4342,Banking,Transfers,2
2849,Banking,Savings,2
4336,Finance,Loans,2
4364,Banking,Account Opening,2
2397,Finance,Loans,2
2912,Finance,Loans,2
6650,Finance,Loans,2
6939,Finance,Stock Market,2
2421,Finance,Loans,2
8362,Finance,Forex,2
8361,Banking,Transfers,2
6652,Finance,Loans,2
2822,Finance,Forex,2
2412,Finance,Stock Market,2
2398,Finance,Loans,2
2412,Finance,Loans,2
8358,Finance,Forex,2
2824,Finance,Forex,2
6646,Finance,Stock Market,2
4373,Banking,Transfers,2
2403,Finance,Loans,2
2360,Finance,Loans,2
2358,Banking,Savings,2
4334,Finance,Stock Market,2
4311,Finance,Forex,2
8826,Finance,Loans,2
2885,Finance,Loans,2
8295,Finance,Forex,2
2301,Finance,Loans,2
2891,Finance,Forex,2
2299,Banking,Account Opening,2
2896,Finance,Stock Market,2
8794,Finance,Forex,2
6981,Finance,Forex,2
4308,Finance,Loans,2
4778,Finance,Forex,2
8284,Finance,Loans,2
8283,Finance,Forex,2
6559,Finance,Stock Market,2
4761,Finance,Loans,2
8308,Finance,Loans,2
2324,Finance,Loans,2
6588,Finance,Loans,2
8807,Finance,Stock Market,2
4328,Finance,Forex,2
2329,Finance,Forex,2
2330,Finance,Loans,2
4756,Finance,Loans,2
6589,Finance,Stock Market,2
8804,Finance,Forex,2
2336,Finance,Loans,2
4328,Finance,Stock Market,2
6590,Finance,Stock Market,2
8313,Finance,Loans,2
4751,Finance,Forex,2
4330,Finance,Loans,2
3337,Banking,Transfers,2
6823,Finance,Forex,2
7297,Finance,Forex,2
5920,Banking,Transfers,2
5497,Finance,Forex,2
9728,Finance,Forex,2
9725,Finance,Stock Market,2
5901,Finance,Loans,2
5492,Finance,Stock Market,2
5904,Finance,Stock Market,2
3530,Finance,Forex,2
9714,Finance,Forex,2
5912,Finance,Forex,2
5913,Finance,Loans,2
7419,Finance,Loans,2
7721,Finance,Forex,2
3860,Finance,Loans,2
7722,Finance,Forex,2
7723,Finance,Loans,2
5535,Finance,Forex,2
1309,Finance,Stock Market,2
7418,Finance,Forex,2
3518,Finance,Stock Market,2
3862,Finance,Loans,2
5476,Finance,Stock Market,2
5924,Banking,Transfers,2
3518,Banking,Account Opening,2
3516,Finance,Stock Market,2
7728,Finance,Forex,2
1320,Finance,Forex,2
3515,Finance,Stock Market,2
1324,Banking,Account Opening,2
5934,Finance,Stock Market,2
3871,Finance,Stock Market,2
7429,Banking,Savings,2
1280,Finance,Stock Market,2
5503,Finance,Forex,2
7706,Finance,Forex,2
7676,Finance,Loans,2
7449,Finance,Stock Market,2
7680,Finance,Loans,2
5528,Finance,Stock Market,2
5528,Finance,Forex,2
9775,Finance,Stock Market,2
5527,Finance,Stock Market,2
7683,Finance,Stock Market,2
1239,Finance,Stock Market,2
9771,Finance,Loans,2
9769,Finance,Stock Market,2
7446,Finance,Stock Market,2
1245,Finance,Loans,2
1247,Finance,Forex,2
1248,Banking,Account Opening,2
5870,Banking,Savings,2
1253,Banking,Savings,2
3818,Finance,Forex,2
5872,Finance,Loans,2
3819,Finance,Stock Market,2
7688,Finance,Stock Market,2
5519,Finance,Loans,2
3825,Banking,Savings,2
5518,Finance,Loans,2
9759,Banking,Transfers,2
3561,Finance,Forex,2
5516,Finance,Forex,2
3551,Finance,Forex,2
3547,Finance,Loans,2
3873,Banking,Account Opening,2
7747,Finance,Forex,2
3499,Finance,Loans,2
7775,Finance,Forex,2
3460,Finance,Stock Market,2
9605,Finance,Forex,2
1400,Finance,Loans,2
1400,Finance,Stock Market,2
1401,Finance,Forex,2
3459,Finance,Stock Market,2
5984,Finance,Loans,2
5399,Finance,Forex,2
3907,Finance,Loans,2
5988,Finance,Stock Market,2
3452,Finance,Forex,2
3908,Banking,Account Opening,2
1414,Finance,Stock Market,2
3449,Finance,Loans,2
7374,Finance,Forex,2
1419,Finance,Stock Market,2
1420,Finance,Forex,2
1422,Finance,Loans,2
5386,Finance,Loans,2
9590,Finance,Stock Market,2
3913,Finance,Loans,2
1430,Finance,Forex,2
1431,Finance,Loans,2
9587,Banking,Savings,2
3918,Finance,Loans,2
9582,Finance,Forex,2
5374,Banking,Transfers,2
6009,Finance,Loans,2
7797,Finance,Stock Market,2
3461,Finance,Forex,2
9616,Finance,Forex,2
7407,Finance,Stock Market,2
3898,Finance,Forex,2
9672,Finance,Stock Market,2
7755,Finance,Loans,2
1342,Finance,Loans,2
7404,Finance,Forex,2
3494,Finance,Forex,2
1346,Banking,Account Opening,2
3492,Banking,Account Opening,2
1347,Finance,Loans,2
5446,Finance,Stock Market,2
7403,Finance,Forex,2
3884,Finance,Forex,2
9648,Finance,Forex,2
5961,Finance,Loans,2
1361,Finance,Loans,2
3482,Finance,Forex,2
5433,Finance,Loans,2
5428,Finance,Loans,2
5965,Finance,Loans,2
5967,Finance,Forex,2
7389,Finance,Loans,2
5969,Finance,Loans,2
5424,Finance,Forex,2
7768,Finance,Loans,2
1372,Finance,Loans,2
5419,Finance,Loans,2
9621,Finance,Loans,2
7385,Finance,Forex,2
3897,Finance,Stock Market,2
5417,Finance,Forex,2
5532,Finance,Forex,2
9783,Finance,Stock Market,2
6011,Finance,Forex,2
9931,Finance,Forex,2
3679,Finance,Stock Market,2
1063,Finance,Loans,2
1064,Banking,Transfers,2
7522,Finance,Forex,2
1065,Finance,Loans,2
9939,Finance,Loans,2
3676,Finance,Forex,2
5663,Banking,Account Opening,2
7518,Banking,Savings,2
5657,Finance,Loans,2
5755,Finance,Stock Market,2
1079,Finance,Stock Market,2
9932,Banking,Account Opening,2
1082,Finance,Forex,2
3664,Finance,Loans,2
9784,Finance,Forex,2
5760,Finance,Loans,2
5649,Finance,Loans,2
5648,Finance,Loans,2
3661,Finance,Loans,2
9919,Finance,Loans,2
9917,Finance,Forex,2
3659,Finance,Forex,2
1100,Finance,Forex,2
3657,Finance,Stock Market,2
7592,Banking,Savings,2
3656,Finance,Loans,2
5770,Finance,Forex,2
7598,Finance,Forex,2
3649,Finance,Forex,2
9944,Finance,Forex,2
5743,Banking,Transfers,2
5742,Finance,Loans,2
5672,Finance,Loans,2
7537,Finance,Stock Market,2
7553,Finance,Stock Market,2
5715,Finance,Forex,2
3720,Finance,Forex,2
5700,Finance,Forex,2
5717,Finance,Stock Market,2
5719,Banking,Account Opening,2
9987,Finance,Forex,2
5720,Finance,Forex,2
1014,Banking,Transfers,2
3725,Finance,Forex,2
9984,Finance,Forex,2
7558,Finance,Forex,2
5729,Banking,Savings,2
1023,Finance,Loans,2
3691,Finance,Forex,2
7571,Finance,Forex,2
3739,Banking,Transfers,2
5679,Finance,Loans,2
5677,Finance,Loans,2
9964,Finance,Loans,2
3744,Finance,Stock Market,2
9959,Finance,Forex,2
1047,Finance,Stock Market,2
1048,Finance,Stock Market,2
3746,Finance,Loans,2
9951,Finance,Stock Market,2
3683,Finance,Forex,2
1051,Finance,Stock Market,2
9903,Finance,Loans,2
1110,Finance,Loans,2
7501,Finance,Loans,2
3788,Banking,Transfers,2
3790,Finance,Stock Market,2
9836,Finance,Forex,2
5819,Finance,Forex,2
7655,Finance,Stock Market,2
3598,Finance,Forex,2
5822,Finance,Loans,2
5823,Finance,Stock Market,2
5560,Finance,Loans,2
7467,Finance,Forex,2
5558,Finance,Forex,2
5557,Finance,Forex,2
5829,Finance,Forex,2
5555,Finance,Loans,2
9807,Banking,Savings,2
9806,Finance,Stock Market,2
1200,Finance,Stock Market,2
7669,Finance,Loans,2
9801,Finance,Stock Market,2
7670,Finance,Stock Market,2
5842,Finance,Loans,2
1212,Finance,Forex,2
1213,Finance,Loans,2
3580,Finance,Loans,2
3579,Finance,Stock Market,2
3807,Finance,Loans,2
1217,Finance,Forex,2
5541,Finance,Forex,2
5851,Finance,Loans,2
7675,Finance,Stock Market,2
7477,Finance,Forex,2
1171,Finance,Forex,2
5634,Banking,Account Opening,2
3607,Finance,Forex,2
3771,Finance,Forex,2
3772,Finance,Loans,2
5625,Finance,Stock Market,2
7612,Banking,Transfers,2
7614,Finance,Loans,2
5621,Finance,Stock Market,2
3637,Banking,Account Opening,2
5782,Finance,Forex,2
5618,Finance,Stock Market,2
9881,Banking,Transfers,2
1130,Finance,Loans,2
3776,Finance,Forex,2
5785,Finance,Stock Market,2
7626,Finance,Forex,2
5790,Finance,Stock Market,2
7628,Finance,Stock Market,2
1146,Finance,Loans,2
5602,Finance,Loans,2
5794,Finance,Stock Market,2
9856,Finance,Stock Market,2
7630,Finance,Forex,2
3623,Banking,Transfers,2
1157,Finance,Loans,2
7633,Finance,Forex,2
5801,Finance,Forex,2
1160,Finance,Loans,2
1161,Finance,Forex,2
5588,Finance,Stock Market,2
5804,Finance,Forex,2
5368,Finance,Loans,2
3520,Finance,Stock Market,2
1575,Finance,Loans,2
1496,Banking,Savings,2
3972,Finance,Stock Market,2
3947,Finance,Forex,2
3358,Finance,Stock Market,2
3427,Finance,Loans,2
1553,Banking,Account Opening,2
5298,Banking,Account Opening,2
3370,Banking,Transfers,2
1479,Finance,Stock Market,2
1606,Banking,Savings,2
7814,Finance,Forex,2
1603,Finance,Stock Market,2
3385,Finance,Stock Market,2
9462,Finance,Stock Market,2
3349,Finance,Forex,2
1489,Finance,Forex,2
5307,Finance,Stock Market,2
1533,Finance,Stock Market,2
3385,Finance,Forex,2
1596,Finance,Loans,2
5343,Finance,Forex,2
3427,Finance,Forex,2
7808,Finance,Loans,2
6056,Finance,Loans,2
3372,Finance,Stock Market,2
7336,Finance,Loans,2
1566,Finance,Stock Market,2
6050,Banking,Transfers,2
3420,Finance,Stock Market,2
3418,Finance,Forex,2
3353,Finance,Stock Market,2
3422,Banking,Account Opening,2
3392,Finance,Forex,2
6097,Finance,Forex,2
9465,Finance,Stock Market,2
6071,Banking,Savings,2
3983,Finance,Loans,2
5295,Finance,Stock Market,2
5316,Finance,Forex,2
5315,Finance,Stock Market,2
1464,Finance,Stock Market,2
5340,Finance,Loans,2
7809,Finance,Loans,2
5267,Finance,Stock Market,2
7324,Finance,Stock Market,2
9559,Finance,Stock Market,2
5260,Finance,Forex,2
1614,Finance,Forex,2
1611,Finance,Stock Market,2
1483,Finance,Forex,2
3941,Banking,Transfers,2
1539,Finance,Stock Market,2
9438,Banking,Transfers,2
1546,Banking,Transfers,2
7299,Finance,Forex,2
7825,Finance,Forex,2
1504,Banking,Transfers,2
3991,Finance,Forex,2
9435,Banking,Transfers,2
5343,Finance,Stock Market,2
7826,Finance,Loans,2
3961,Finance,Forex,2
7298,Finance,Forex,2
3434,Banking,Savings,2
5320,Finance,Forex,2
9486,Finance,Loans,2
6077,Finance,Stock Market,2
3434,Finance,Loans,2
7306,Banking,Transfers,2
7314,Finance,Forex,2
9563,Finance,Forex,2
6039,Finance,Loans,2
3368,Finance,Loans,2
1610,Banking,Transfers,2
6086,Finance,Forex,2
9440,Banking,Savings,2
9535,Banking,Savings,2
7342,Banking,Savings,2
5366,Finance,Stock Market,2
1547,Finance,Stock Market,2
9494,Finance,Forex,2
9493,Banking,Transfers,2
6115,Finance,Loans,2
6020,Finance,Stock Market,2
6056,Finance,Forex,2
3987,Finance,Loans,2
6068,Finance,Stock Market,2
3361,Finance,Stock Market,2
1507,Finance,Forex,2
7483,Finance,Stock Market,1
7480,Finance,Stock Market,1
7321,Finance,Stock Market,1
6943,Finance,Loans,1
7480,Banking,Account Opening,1
7481,Banking,Transfers,1
6935,Finance,Loans,1
6943,Banking,Savings,1
7482,Finance,Loans,1
6939,Finance,Forex,1
7477,Finance,Stock Market,1
7481,Finance,Loans,1
6937,Finance,Forex,1
6938,Finance,Stock Market,1
6940,Finance,Loans,1
7359,Finance,Stock Market,1
7320,Finance,Forex,1
7484,Finance,Forex,1
7251,Finance,Loans,1
6918,Finance,Stock Market,1
7485,Finance,Stock Market,1
7251,Finance,Stock Market,1
6918,Banking,Account Opening,1
7486,Banking,Savings,1
7486,Finance,Stock Market,1
6916,Finance,Forex,1
7314,Finance,Stock Market,1
6916,Banking,Transfers,1
6915,Finance,Loans,1
6915,Banking,Savings,1
6913,Finance,Loans,1
7488,Finance,Loans,1
7490,Finance,Forex,1
7250,Finance,Forex,1
7315,Finance,Forex,1
7485,Finance,Loans,1
7485,Banking,Account Opening,1
7317,Finance,Loans,1
6931,Finance,Forex,1
7317,Finance,Forex,1
7317,Banking,Account Opening,1
7484,Finance,Stock Market,1
6929,Banking,Transfers,1
6927,Finance,Stock Market,1
7249,Finance,Loans,1
7485,Finance,Forex,1
6926,Finance,Loans,1
6922,Finance,Loans,1
6945,Banking,Savings,1
7244,Finance,Forex,1
6921,Banking,Account Opening,1
6944,Finance,Stock Market,1
6952,Finance,Loans,1
7243,Finance,Stock Market,1
